"wordNo","origtext","boundary","prominence"
"0","Look","0","0"
"1","at","0","0"
"2","us.","2","0"
"3","Do","0","0"
"4","you","0","0"
"5","want","0","0"
"6","to","0","0"
"7","be","0","0"
"8","our","0","0"
"9","friend?","2","0"
"10","My","0","0"
"11","legs","0","0"
"12","are","0","0"
"13","very","0","0"
"14","strong.","2","0"
"15","I","0","0"
"16","can","0","0"
"17","run","0","0"
"18","really","0","0"
"19","fast","0","0"
"20","with","0","0"
"21","them.","2","0"
"22","And","0","0"
"23","my","0","0"
"24","arms...","2","0"
"25","such","0","0"
"26","a","0","0"
"27","nice","0","0"
"28","swing!","2","0"
"29","I","0","0"
"30","like","0","0"
"31","to","0","0"
"32","draw.","2","0"
"33","I","0","0"
"34","use","0","0"
"35","my","0","0"
"36","hands","0","0"
"37","for","0","0"
"38","drawing.","2","0"
"39","Should","0","0"
"40","I","0","0"
"41","draw","0","0"
"42","your","0","0"
"43","picture?","2","0"
"44","I","0","0"
"45","can","0","0"
"46","see","0","0"
"47","you","0","0"
"48","with","0","0"
"49","my","0","0"
"50","eyes.","2","0"
"51","The","0","0"
"52","bird","0","0"
"53","sings","0","0"
"54","a","0","0"
"55","sweet","0","0"
"56","song.","2","0"
"57","I","0","0"
"58","can","0","0"
"59","hear","0","0"
"60","it","0","0"
"61","with","0","0"
"62","my","0","0"
"63","ears.","2","0"
"64","I","0","0"
"65","think","0","0"
"66","Ma","0","0"
"67","is","0","0"
"68","making","0","0"
"69","halwa.","2","0"
"70","I","0","0"
"71","can","0","0"
"72","smell","0","0"
"73","it","0","0"
"74","with","0","0"
"75","my","0","0"
"76","nose.","2","0"
"77","Oh!","2","0"
"78","This","0","0"
"79","sugarcane","0","0"
"80","is","0","0"
"81","so","0","0"
"82","tough!","2","0"
"83","But","0","0"
"84","my","0","0"
"85","teeth","0","0"
"86","are","0","0"
"87","strong","0","0"
"88","too!","2","0"
"89","It","0","0"
"90","is","0","0"
"91","very","0","0"
"92","sweet.","2","0"
"93","My","0","0"
"94","tongue","0","0"
"95","just","0","0"
"96","told","0","0"
"97","me.","2","0"
"98","I","0","0"
"99","can","0","0"
"100","sing.","2","0"
"101","Should","0","0"
"102","I","0","0"
"103","sing","0","0"
"104","you","0","0"
"105","a","0","0"
"106","song?","2","0"
"107","Ma","0","0"
"108","says","0","0"
"109","I","0","0"
"110","have","0","0"
"111","a","0","0"
"112","good","0","0"
"113","voice.","2","0"
"114","Does","0","0"
"115","it","0","0"
"116","come","0","0"
"117","from","0","0"
"118","my","0","0"
"119","throat?","2","0"
