"wordNo","origtext","boundary","prominence"
"0","Time","0","0"
"1","for","0","0"
"2","the","0","0"
"3","weather","0","0"
"4","report!","2","0"
"5","Today,","2","0"
"6","the","0","0"
"7","weather","0","0"
"8","is","0","0"
"9","sunny...","2","0"
"10","and","0","0"
"11","so","0","0"
"12","very","0","0"
"13","hot!","2","0"
"14","Today","0","0"
"15","the","0","0"
"16","weather","0","0"
"17","is","0","0"
"18","rainy...","2","0"
"19","and","0","0"
"20","so","0","0"
"21","very","0","0"
"22","wet.","2","0"
"23","Today","0","0"
"24","it's","0","0"
"25","cloudy","0","0"
"26","and","0","0"
"27","overcast.","2","0"
"28","Today","0","0"
"29","it","0","0"
"30","was","0","0"
"31","windy...","2","0"
"32","and","0","0"
"33","now","0","0"
"34","it's","0","0"
"35","stormy!","2","0"
"36","And","0","0"
"37","today?","2","0"
"38","It's","0","0"
"39","cold.","2","0"
"40","ENOUGH!","2","0"
"41","Oh,","2","0"
"42","today?","2","0"
"43","Today","0","0"
"44","the","0","0"
"45","weather","0","0"
"46","is","0","0"
"47","just","0","0"
"48","right.","2","0"
