"wordNo","origtext","boundary","prominence"
"0","Foxy","0","0"
"1","Joxy","0","0"
"2","was","0","0"
"3","a","0","0"
"4","sly","0","0"
"5","fox.","2","0"
"6","He","0","0"
"7","sold","0","0"
"8","big,","2","0"
"9","fresh","0","0"
"10","watermelons.","2","0"
"11","Watermelons","0","0"
"12","for","0","0"
"13","sale!","2","0"
"14","""Your","0","0"
"15","price","0","0"
"16","is","0","0"
"17","too","0","0"
"18","high,""","2","0"
"19","said","0","0"
"20","Rabbit","0","0"
"21","Jabbit.","2","0"
"22","""You","0","0"
"23","are","0","0"
"24","asking","0","0"
"25","too","0","0"
"26","much,""","2","0"
"27","said","0","0"
"28","Gia","0","0"
"29","Giraffe.","2","0"
"30","Foxy","0","0"
"31","Joxy","0","0"
"32","had","0","0"
"33","a","0","0"
"34","clever","0","0"
"35","idea.","2","0"
"36","He","0","0"
"37","slit","0","0"
"38","open","0","0"
"39","a","0","0"
"40","big","0","0"
"41","watermelon,","2","0"
"42","scooped","0","0"
"43","out","0","0"
"44","the","0","0"
"45","fruit,","2","0"
"46","and","0","0"
"47","gobbled","0","0"
"48","it","0","0"
"49","up.","2","0"
"50","Then","0","0"
"51","he","0","0"
"52","filled","0","0"
"53","it","0","0"
"54","with","0","0"
"55","water!","2","0"
"56","He","0","0"
"57","took","0","0"
"58","a","0","0"
"59","needle","0","0"
"60","and","0","0"
"61","thread","0","0"
"62","and","0","0"
"63","sewed","0","0"
"64","the","0","0"
"65","watermelon","0","0"
"66","back","0","0"
"67","together.","2","0"
"68","He","0","0"
"69","sold","0","0"
"70","his","0","0"
"71","watermelons","0","0"
"72","for","0","0"
"73","a","0","0"
"74","cheap","0","0"
"75","price.","2","0"
"76","Many","0","0"
"77","animals","0","0"
"78","bought","0","0"
"79","from","0","0"
"80","Foxy","0","0"
"81","Joxy.","2","0"
"82","""This","0","0"
"83","watermelon","0","0"
"84","has","0","0"
"85","only","0","0"
"86","water","0","0"
"87","in","0","0"
"88","it,""","2","0"
"89","complained","0","0"
"90","Funky","0","0"
"91","Monkey.","2","0"
"92","""Well,","2","0"
"93","you","0","0"
"94","got","0","0"
"95","what","0","0"
"96","you","0","0"
"97","paid","0","0"
"98","for,""","2","0"
"99","said","0","0"
"100","Foxy","0","0"
"101","Joxy.","2","0"
"102","""We","0","0"
"103","need","0","0"
"104","to","0","0"
"105","teach","0","0"
"106","Foxy","0","0"
"107","Joxy","0","0"
"108","a","0","0"
"109","lesson,""","2","0"
"110","said","0","0"
"111","Ellie","0","0"
"112","Elephant.","2","0"
"113","The","0","0"
"114","animals","0","0"
"115","gathered","0","0"
"116","around","0","0"
"117","and","0","0"
"118","came","0","0"
"119","up","0","0"
"120","with","0","0"
"121","a","0","0"
"122","plan.","2","0"
"123","""I","0","0"
"124","have","0","0"
"125","an","0","0"
"126","idea,""","2","0"
"127","said","0","0"
"128","Oliver","0","0"
"129","Owl.","2","0"
"130","They","0","0"
"131","took","0","0"
"132","an","0","0"
"133","empty","0","0"
"134","watermelon,","2","0"
"135","stuffed","0","0"
"136","Foxy","0","0"
"137","Joxy","0","0"
"138","into","0","0"
"139","it...","2","0"
"140","and","0","0"
"141","played","0","0"
"142","a","0","0"
"143","game","0","0"
"144","of","0","0"
"145","football","0","0"
"146","with","0","0"
"147","it.","2","0"
"148","Foxy","0","0"
"149","Joxy","0","0"
"150","was","0","0"
"151","dizzy!","2","0"
"152","He","0","0"
"153","learnt","0","0"
"154","his","0","0"
"155","lesson","0","0"
"156","and","0","0"
"157","never","0","0"
"158","cheated","0","0"
"159","again.","2","0"
