"wordNo","origtext","boundary","prominence"
"0","On","0","0"
"1","Sunday,","2","0"
"2","Manu's","0","0"
"3","parents","0","0"
"4","got","0","0"
"5","him","0","0"
"6","a","0","0"
"7","red","0","0"
"8","raincoat.","2","0"
"9","""Ma,","2","0"
"10","may","0","0"
"11","I","0","0"
"12","wear","0","0"
"13","it","0","0"
"14","now?""","2","0"
"15","asked","0","0"
"16","Manu.","2","0"
"17","""No,","2","0"
"18","my","0","0"
"19","dear,","2","0"
"20","the","0","0"
"21","rains","0","0"
"22","are","0","0"
"23","near,","2","0"
"24","but","0","0"
"25","just","0","0"
"26","now","0","0"
"27","the","0","0"
"28","sky","0","0"
"29","is","0","0"
"30","clear,""","2","0"
"31","said","0","0"
"32","Ma.","2","0"
"33","Monday","0","0"
"34","was","0","0"
"35","bright","0","0"
"36","and","0","0"
"37","sunny.","2","0"
"38","""WILL","0","0"
"39","it","0","0"
"40","rain","0","0"
"41","today,","2","0"
"42","Mummy?""","2","0"
"43","asked","0","0"
"44","Manu.","2","0"
"45","""No","0","0"
"46","Manu,","2","0"
"47","not","0","0"
"48","today.","2","0"
"49","If","0","0"
"50","you","0","0"
"51","wear","0","0"
"52","your","0","0"
"53","raincoat,","2","0"
"54","you","0","0"
"55","will","0","0"
"56","look","0","0"
"57","quite","0","0"
"58","funny!""","2","0"
"59","said","0","0"
"60","Ma.","2","0"
"61","On","0","0"
"62","Tuesday,","2","0"
"63","the","0","0"
"64","sky","0","0"
"65","was","0","0"
"66","blue.","2","0"
"67","""Ma,","2","0"
"68","WHEN","0","0"
"69","will","0","0"
"70","my","0","0"
"71","wish","0","0"
"72","come","0","0"
"73","true?""","2","0"
"74","asked","0","0"
"75","Manu.","2","0"
"76","""Not","0","0"
"77","today,","2","0"
"78","my","0","0"
"79","dear,","2","0"
"80","there","0","0"
"81","is","0","0"
"82","just","0","0"
"83","one","0","0"
"84","white","0","0"
"85","cloud","0","0"
"86","in","0","0"
"87","the","0","0"
"88","sky!""","2","0"
"89","said","0","0"
"90","Ma.","2","0"
"91","Wednesday","0","0"
"92","was","0","0"
"93","hot.","2","0"
"94","""Ma,","2","0"
"95","WHY","0","0"
"96","doesn't","0","0"
"97","it","0","0"
"98","rain?""","2","0"
"99","asked","0","0"
"100","Manu.","2","0"
"101","""Son,","2","0"
"102","I","0","0"
"103","think","0","0"
"104","it","0","0"
"105","will","0","0"
"106","rain","0","0"
"107","very","0","0"
"108","soon.","2","0"
"109","Maybe","0","0"
"110","even","0","0"
"111","before","0","0"
"112","it","0","0"
"113","is","0","0"
"114","noon,""","2","0"
"115","said","0","0"
"116","Ma.","2","0"
"117","On","0","0"
"118","Thursday","0","0"
"119","Manu","0","0"
"120","went","0","0"
"121","on","0","0"
"122","a","0","0"
"123","picnic.","2","0"
"124","""Ma,","2","0"
"125","WHAT","0","0"
"126","if","0","0"
"127","it","0","0"
"128","rains?","2","0"
"129","Shall","0","0"
"130","I","0","0"
"131","take","0","0"
"132","the","0","0"
"133","raincoat","0","0"
"134","with","0","0"
"135","me?""","2","0"
"136","asked","0","0"
"137","Manu.","2","0"
"138","""No","0","0"
"139","my","0","0"
"140","dear,","2","0"
"141","it","0","0"
"142","will","0","0"
"143","not","0","0"
"144","rain","0","0"
"145","today.","2","0"
"146","The","0","0"
"147","little","0","0"
"148","white","0","0"
"149","clouds","0","0"
"150","are","0","0"
"151","too","0","0"
"152","high","0","0"
"153","in","0","0"
"154","the","0","0"
"155","sky,""","2","0"
"156","said","0","0"
"157","Ma.","2","0"
"158","Friday","0","0"
"159","was","0","0"
"160","cloudy.","2","0"
"161","""Ma,","2","0"
"162","will","0","0"
"163","it","0","0"
"164","rain","0","0"
"165","today?""","2","0"
"166","asked","0","0"
"167","Manu","0","0"
"168","loudly.","2","0"
"169","""It","0","0"
"170","might,","2","0"
"171","my","0","0"
"172","dear.","2","0"
"173","There","0","0"
"174","are","0","0"
"175","some","0","0"
"176","dark","0","0"
"177","clouds","0","0"
"178","low","0","0"
"179","down","0","0"
"180","in","0","0"
"181","the","0","0"
"182","sky,""","2","0"
"183","said","0","0"
"184","Ma.","2","0"
"185","Saturday","0","0"
"186","began","0","0"
"187","with","0","0"
"188","a","0","0"
"189","bang!","2","0"
"190","Badaboom!","2","0"
"191","""Ma,","2","0"
"192","is","0","0"
"193","that","0","0"
"194","thunder","0","0"
"195","I","0","0"
"196","hear?","2","0"
"197","Will","0","0"
"198","it","0","0"
"199","rain","0","0"
"200","very","0","0"
"201","soon?""","2","0"
"202","asked","0","0"
"203","Manu.","2","0"
"204","And","0","0"
"205","then","0","0"
"206","at","0","0"
"207","last,","2","0"
"208","it","0","0"
"209","started","0","0"
"210","raining!","2","0"
"211","""Oh,","2","0"
"212","it's","0","0"
"213","raining,","2","0"
"214","it's","0","0"
"215","raining,""","2","0"
"216","sang","0","0"
"217","Manu,","2","0"
"218","running","0","0"
"219","out.","2","0"
"220","""But","0","0"
"221","Manu,""","2","0"
"222","called","0","0"
"223","Ma,","2","0"
"224","running","0","0"
"225","after","0","0"
"226","him,","2","0"
"227","""you","0","0"
"228","forgot","0","0"
"229","your","0","0"
"230","raincoat!""","2","0"
