"wordNo","origtext","boundary","prominence"
"0","The","0","0"
"1","worms","0","0"
"2","laid","0","0"
"3","small","0","0"
"4","eggs","0","0"
"5","on","0","0"
"6","the","0","0"
"7","leaves.","2","0"
"8","We","0","0"
"9","fed","0","0"
"10","them","0","0"
"11","mulberry","0","0"
"12","leaves.","2","0"
"13","They","0","0"
"14","grew","0","0"
"15","bigger","0","0"
"16","and","0","0"
"17","became","0","0"
"18","fatter.","2","0"
"19","The","0","0"
"20","larvae","0","0"
"21","made","0","0"
"22","silk","0","0"
"23","cocoons.","2","0"
"24","Inside","0","0"
"25","the","0","0"
"26","cocoons,","2","0"
"27","the","0","0"
"28","worms","0","0"
"29","turned","0","0"
"30","into","0","0"
"31","pupae.","2","0"
"32","Some","0","0"
"33","people","0","0"
"34","breed","0","0"
"35","silkworms","0","0"
"36","for","0","0"
"37","a","0","0"
"38","certain","0","0"
"39","purpose.","2","0"
"40","In","0","0"
"41","China,","2","0"
"42","they","0","0"
"43","keep","0","0"
"44","thousands","0","0"
"45","of","0","0"
"46","kinds","0","0"
"47","of","0","0"
"48","silkworms.","2","0"
"49","They","0","0"
"50","make","0","0"
"51","silk","0","0"
"52","cloths","0","0"
"53","using","0","0"
"54","their","0","0"
"55","cocoons.","2","0"
