"wordNo","origtext","boundary","prominence"
"0","It's","0","0"
"1","wash","0","0"
"2","day","0","0"
"3","for","0","0"
"4","the","0","0"
"5","Socks.","2","0"
"6","OH","0","0"
"7","NO!","2","0"
"8","Little","0","0"
"9","Sock","0","0"
"10","falls","0","0"
"11","out!","2","0"
"12","""I","0","0"
"13","have","0","0"
"14","to","0","0"
"15","get","0","0"
"16","home,""","2","0"
"17","says","0","0"
"18","Little","0","0"
"19","Sock.","2","0"
"20","""Do","0","0"
"21","you","0","0"
"22","know","0","0"
"23","the","0","0"
"24","way","0","0"
"25","home?""","2","0"
"26","asks","0","0"
"27","Little","0","0"
"28","Sock.","2","0"
"29","""No,","2","0"
"30","but","0","0"
"31","take","0","0"
"32","this,""","2","0"
"33","says","0","0"
"34","the","0","0"
"35","Robot.","2","0"
"36","""Do","0","0"
"37","you","0","0"
"38","know","0","0"
"39","the","0","0"
"40","way","0","0"
"41","home?""","2","0"
"42","asks","0","0"
"43","Little","0","0"
"44","Sock.","2","0"
"45","""No,","2","0"
"46","but","0","0"
"47","take","0","0"
"48","this,""","2","0"
"49","says","0","0"
"50","the","0","0"
"51","Mouse.","2","0"
"52","""Do","0","0"
"53","you","0","0"
"54","know","0","0"
"55","the","0","0"
"56","way","0","0"
"57","home?""","2","0"
"58","asks","0","0"
"59","Little","0","0"
"60","Sock.","2","0"
"61","""No,","2","0"
"62","but","0","0"
"63","take...","2","0"
"64","OOPS!!!""","2","0"
"65","""Maybe","0","0"
"66","the","0","0"
"67","marble","0","0"
"68","knows","0","0"
"69","the","0","0"
"70","way","0","0"
"71","home,""","2","0"
"72","says","0","0"
"73","Little","0","0"
"74","Sock.","2","0"
"75","""It","0","0"
"76","does!""","2","0"
"77","says","0","0"
"78","Little","0","0"
"79","Sock.","2","0"
"80","Little","0","0"
"81","Sock","0","0"
"82","is","0","0"
"83","happy.","2","0"
"84","MAKE","0","0"
"85","YOUR","0","0"
"86","OWN","0","0"
"87","LITTLE","0","0"
"88","SOCK","0","0"
"89","Different","0","0"
"90","socks","0","0"
"91","have","0","0"
"92","different","0","0"
"93","personalities,","2","0"
"94","so","0","0"
"95","pick","0","0"
"96","your","0","0"
"97","favourite.","2","0"
"98","YOU","0","0"
"99","WILL","0","0"
"100","NEED:","2","0"
"101","a","0","0"
"102","sock","0","0"
"103","two","0","0"
"104","buttons","0","0"
"105","a","0","0"
"106","needle","0","0"
"107","and","0","0"
"108","thread","0","0"
"109","a","0","0"
"110","grown-up","0","0"
"111","to","0","0"
"112","help","0","0"
"113","INSTRUCTIONS","0","0"
"114","Ask","0","0"
"115","your","0","0"
"116","grown-up","0","0"
"117","to","0","0"
"118","sew","0","0"
"119","the","0","0"
"120","buttons","0","0"
"121","onto","0","0"
"122","the","0","0"
"123","sock.","2","0"
