# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,This,this,,,,,,,,,,,,,,,,0,2,,,
1,is,is,,,,,,,,,,,,,,,,0,0,,,
2,me.,me,,,,,,,,,,,,,,,,2,0,,,
3,This,this,,,,,,,,,,,,,,,,0,0,,,
4,is,is,,,,,,,,,,,,,,,,0,0,,,
5,"me,",me,,,,,,,,,,,,,,,,1,2,,,
6,from,from,,,,,,,,,,,,,,,,0,0,,,
7,my,my,,,,,,,,,,,,,,,,0,0,,,
8,head,head,,,,,,,,,,,,,,,,0,2,,,
9,to,to,,,,,,,,,,,,,,,,0,0,,,
10,my,my,,,,,,,,,,,,,,,,0,0,,,
11,toes.,toes,,,,,,,,,,,,,,,,2,0,,,
12,I,i,,,,,,,,,,,,,,,,0,0,,,
13,have,have,,,,,,,,,,,,,,,,0,2,,,
14,two,two,,,,,,,,,,,,,,,,0,0,,,
15,"eyes,",eyes,,,,,,,,,,,,,,,,1,2,,,
16,and,and,,,,,,,,,,,,,,,,0,0,,,
17,one,one,,,,,,,,,,,,,,,,0,2,,,
18,little,little,,,,,,,,,,,,,,,,0,0,,,
19,nose.,nose,,,,,,,,,,,,,,,,2,0,,,
20,I,i,,,,,,,,,,,,,,,,0,0,,,
21,can,can,,,,,,,,,,,,,,,,0,0,,,
22,wiggle,wiggle,,,,,,,,,,,,,,,,0,2,,,
23,my,my,,,,,,,,,,,,,,,,0,0,,,
24,"ears,",ears,,,,,,,,,,,,,,,,1,0,,,
25,and,and,,,,,,,,,,,,,,,,0,0,,,
26,stomp,stomp,,,,,,,,,,,,,,,,0,2,,,
27,my,my,,,,,,,,,,,,,,,,0,0,,,
28,feet.,feet,,,,,,,,,,,,,,,,2,0,,,
29,From,from,,,,,,,,,,,,,,,,0,0,,,
30,my,my,,,,,,,,,,,,,,,,0,0,,,
31,head,head,,,,,,,,,,,,,,,,0,2,,,
32,to,to,,,,,,,,,,,,,,,,0,0,,,
33,my,my,,,,,,,,,,,,,,,,0,0,,,
34,"toes,",toes,,,,,,,,,,,,,,,,1,2,,,
35,I'm,i'm,,,,,,,,,,,,,,,,0,0,,,
36,pretty,pretty,,,,,,,,,,,,,,,,0,2,,,
37,neat.,neat,,,,,,,,,,,,,,,,2,0,,,
