# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,A,a,,,,,,,,,,,,,,,,0,0,,,
1,magician,magician,,,,,,,,,,,,,,,,0,2,,,
2,"enters,",enters,,,,,,,,,,,,,,,,1,0,,,
3,bows,bows,,,,,,,,,,,,,,,,1,2,,,
4,and,and,,,,,,,,,,,,,,,,0,0,,,
5,then,then,,,,,,,,,,,,,,,,0,0,,,
6,takes,takes,,,,,,,,,,,,,,,,0,2,,,
7,off,off,,,,,,,,,,,,,,,,1,2,,,
8,his,his,,,,,,,,,,,,,,,,0,0,,,
9,cape,cape,,,,,,,,,,,,,,,,0,2,,,
10,and,and,,,,,,,,,,,,,,,,0,0,,,
11,hat,hat,,,,,,,,,,,,,,,,1,2,,,
13,he,he,,,,,,,,,,,,,,,,0,0,,,
14,puts,puts,,,,,,,,,,,,,,,,0,2,,,
15,them,them,,,,,,,,,,,,,,,,0,0,,,
16,to,to,,,,,,,,,,,,,,,,0,0,,,
17,one,one,,,,,,,,,,,,,,,,0,0,,,
18,side.,side,,,,,,,,,,,,,,,,2,0,,,
19,He,he,,,,,,,,,,,,,,,,0,0,,,
20,slowly,slowly,,,,,,,,,,,,,,,,0,2,,,
21,and,and,,,,,,,,,,,,,,,,0,0,,,
22,carefully,carefully,,,,,,,,,,,,,,,,0,2,,,
23,takes,takes,,,,,,,,,,,,,,,,0,0,,,
24,off,off,,,,,,,,,,,,,,,,0,0,,,
25,his,his,,,,,,,,,,,,,,,,0,0,,,
26,"gloves,",gloves,,,,,,,,,,,,,,,,1,2,,,
28,throws,throws,,,,,,,,,,,,,,,,0,2,,,
29,the,the,,,,,,,,,,,,,,,,0,0,,,
30,gloves,gloves,,,,,,,,,,,,,,,,1,0,,,
31,up,up,,,,,,,,,,,,,,,,0,0,,,
32,in,in,,,,,,,,,,,,,,,,0,0,,,
33,the,the,,,,,,,,,,,,,,,,0,0,,,
34,air,air,,,,,,,,,,,,,,,,2,0,,,
36,they,they,,,,,,,,,,,,,,,,0,0,,,
37,change,change,,,,,,,,,,,,,,,,0,2,,,
