# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,"Once,",once,,,,,,,,,,,,,,,,1,,,,
1,there,there,,,,,,,,,,,,,,,,0,,,,
2,lived,lived,,,,,,,,,,,,,,,,0,,,,
3,a,a,,,,,,,,,,,,,,,,0,,,,
4,shepherd,shepherd,,,,,,,,,,,,,,,,0.5,,,,
5,in,in,,,,,,,,,,,,,,,,0,,,,
6,a,a,,,,,,,,,,,,,,,,0,,,,
7,village.,village,,,,,,,,,,,,,,,,2,,,,
8,He,he,,,,,,,,,,,,,,,,0,,,,
9,was,was,,,,,,,,,,,,,,,,0,,,,
10,a,a,,,,,,,,,,,,,,,,0,,,,
11,kind,kind,,,,,,,,,,,,,,,,0,,,,
12,and,and,,,,,,,,,,,,,,,,0,,,,
13,good,good,,,,,,,,,,,,,,,,0,,,,
14,man.,man,,,,,,,,,,,,,,,,2,,,,
15,He,he,,,,,,,,,,,,,,,,0,,,,
16,had,had,,,,,,,,,,,,,,,,0,,,,
17,a,a,,,,,,,,,,,,,,,,0,,,,
18,hundred,hundred,,,,,,,,,,,,,,,,0,,,,
19,sheep.,sheep,,,,,,,,,,,,,,,,2,,,,
20,One,one,,,,,,,,,,,,,,,,0,,,,
21,"day,",day,,,,,,,,,,,,,,,,1,,,,
22,he,he,,,,,,,,,,,,,,,,0,,,,
23,took,took,,,,,,,,,,,,,,,,0,,,,
24,the,the,,,,,,,,,,,,,,,,0,,,,
25,sheep,sheep,,,,,,,,,,,,,,,,0.5,,,,
26,to,to,,,,,,,,,,,,,,,,0,,,,
27,the,the,,,,,,,,,,,,,,,,0,,,,
28,riverside.,riverside,,,,,,,,,,,,,,,,2,,,,
29,There,there,,,,,,,,,,,,,,,,0,,,,
30,was,was,,,,,,,,,,,,,,,,0,,,,
31,a,a,,,,,,,,,,,,,,,,0,,,,
32,lot,lot,,,,,,,,,,,,,,,,0,,,,
33,of,of,,,,,,,,,,,,,,,,0,,,,
34,grass,grass,,,,,,,,,,,,,,,,0,,,,
35,there,there,,,,,,,,,,,,,,,,0.5,,,,
36,for,for,,,,,,,,,,,,,,,,0,,,,
37,the,the,,,,,,,,,,,,,,,,0,,,,
38,sheep.,sheep,,,,,,,,,,,,,,,,2,,,,
39,In,in,,,,,,,,,,,,,,,,0,,,,
40,the,the,,,,,,,,,,,,,,,,0,,,,
41,"evening,",evening,,,,,,,,,,,,,,,,1,,,,
42,the,the,,,,,,,,,,,,,,,,0,,,,
43,shepherd,shepherd,,,,,,,,,,,,,,,,0,,,,
44,took,took,,,,,,,,,,,,,,,,0,,,,
45,them,them,,,,,,,,,,,,,,,,0,,,,
46,back,back,,,,,,,,,,,,,,,,0,,,,
47,home.,home,,,,,,,,,,,,,,,,2,,,,
48,He,he,,,,,,,,,,,,,,,,0,,,,
49,counted,counted,,,,,,,,,,,,,,,,0,,,,
50,the,the,,,,,,,,,,,,,,,,0,,,,
51,sheep.,sheep,,,,,,,,,,,,,,,,2,,,,
52,There,there,,,,,,,,,,,,,,,,0,,,,
53,were,were,,,,,,,,,,,,,,,,0,,,,
54,only,only,,,,,,,,,,,,,,,,0,,,,
55,ninety,ninety,,,,,,,,,,,,,,,,0,,,,
56,nine!,nine,,,,,,,,,,,,,,,,2,,,,
57,One,one,,,,,,,,,,,,,,,,0,,,,
58,sheep,sheep,,,,,,,,,,,,,,,,0,,,,
59,was,was,,,,,,,,,,,,,,,,0,,,,
60,lost.,lost,,,,,,,,,,,,,,,,2,,,,
61,The,the,,,,,,,,,,,,,,,,0,,,,
62,shepherd,shepherd,,,,,,,,,,,,,,,,0,,,,
63,was,was,,,,,,,,,,,,,,,,0,,,,
64,sad.,sad,,,,,,,,,,,,,,,,2,,,,
