# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,A,a,,,,,,,,,,,,,,,,0,0,,,
1,dam,dam,,,,,,,,,,,,,,,,0,2,,,
2,is,is,,,,,,,,,,,,,,,,0,0,,,
3,a,a,,,,,,,,,,,,,,,,0,0,,,
4,wall,wall,,,,,,,,,,,,,,,,1,2,,,
5,built,built,,,,,,,,,,,,,,,,0,1,,,
6,across,across,,,,,,,,,,,,,,,,0,1,,,
7,a,a,,,,,,,,,,,,,,,,0,0,,,
8,river.,river,,,,,,,,,,,,,,,,2,1,,,
9,When,when,,,,,,,,,,,,,,,,0,1,,,
10,it,it,,,,,,,,,,,,,,,,0,0,,,
11,"rains,",rains,,,,,,,,,,,,,,,,1,1,,,
12,a,a,,,,,,,,,,,,,,,,0,0,,,
13,lot,lot,,,,,,,,,,,,,,,,0,1,,,
14,of,of,,,,,,,,,,,,,,,,0,0,,,
15,water,water,,,,,,,,,,,,,,,,0.5,1,,,
16,goes,goes,,,,,,,,,,,,,,,,0,1,,,
17,down,down,,,,,,,,,,,,,,,,0,1,,,
18,the,the,,,,,,,,,,,,,,,,0,0,,,
19,river,river,,,,,,,,,,,,,,,,1,1,,,
20,and,and,,,,,,,,,,,,,,,,0,0,,,
21,into,into,,,,,,,,,,,,,,,,0,1,,,
22,the,the,,,,,,,,,,,,,,,,0,0,,,
23,sea.,sea,,,,,,,,,,,,,,,,2,2,,,
24,The,the,,,,,,,,,,,,,,,,0,0,,,
25,dam,dam,,,,,,,,,,,,,,,,0,1,,,
26,stops,stops,,,,,,,,,,,,,,,,0,2,,,
27,the,the,,,,,,,,,,,,,,,,0,0,,,
28,water.,water,,,,,,,,,,,,,,,,2,1,,,
29,The,the,,,,,,,,,,,,,,,,0,0,,,
30,water,water,,,,,,,,,,,,,,,,0,1,,,
31,then,then,,,,,,,,,,,,,,,,0,1,,,
32,becomes,becomes,,,,,,,,,,,,,,,,0,0,,,
33,a,a,,,,,,,,,,,,,,,,0,0,,,
34,big,big,,,,,,,,,,,,,,,,0,2,,,
35,lake,lake,,,,,,,,,,,,,,,,1,1,,,
36,behind,behind,,,,,,,,,,,,,,,,0,1,,,
37,the,the,,,,,,,,,,,,,,,,0,0,,,
38,dam.,dam,,,,,,,,,,,,,,,,2,1,,,
39,Later,later,,,,,,,,,,,,,,,,1,1,,,
40,this,this,,,,,,,,,,,,,,,,0,1,,,
41,water,water,,,,,,,,,,,,,,,,0,1,,,
42,is,is,,,,,,,,,,,,,,,,0,0,,,
43,let,let,,,,,,,,,,,,,,,,0,2,,,
44,out,out,,,,,,,,,,,,,,,,0,0,,,
45,into,into,,,,,,,,,,,,,,,,0,0,,,
46,the,the,,,,,,,,,,,,,,,,0,0,,,
47,fields.,fields,,,,,,,,,,,,,,,,2,1,,,
48,There,there,,,,,,,,,,,,,,,,0,1,,,
49,it,it,,,,,,,,,,,,,,,,0,0,,,
50,helps,helps,,,,,,,,,,,,,,,,0.5,1,,,
51,crops,crops,,,,,,,,,,,,,,,,0,1,,,
52,like,like,,,,,,,,,,,,,,,,0,0,,,
53,rice,rice,,,,,,,,,,,,,,,,0,1,,,
54,to,to,,,,,,,,,,,,,,,,0,0,,,
55,grow.,grow,,,,,,,,,,,,,,,,2,1,,,
