# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,Two,two,0,CD,JJ,,,False,False,False,,,,,,,,0,1,1,2,441398439
1,tribes,tribes,0,NNS,NN,,,True,False,False,,,,,,,,0,1,1,5,6852777
2,lived,lived,0,VBD,VB,,,True,False,False,,1.0,1.0,,,,,0,1,1,4,18050710
3,on,on,0,IN,IN,,,False,False,False,,,,,,,,0,0,1,2,3750423199
4,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
5,banks,banks,0,NNS,NN,,,True,False,False,,,,,,,,0,1,1,5,30582183
6,of,of,0,IN,IN,,,False,False,False,,,,,,,,0,0,1,2,13151942776
7,a,a,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,1,9081174698
8,river.,river,1,NN,NN,,,True,True,True,,1.0,1.0,,,,,2,2,2,5,78843808
9,The,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
10,tribe,tribe,0,NN,NN,,,True,False,False,,,,,,,,0,2,1,4,7890695
11,that,that,0,IN,JJ,,,False,False,False,,,,,,,,0,0,1,3,3400031103
12,lived,lived,0,VBD,VB,,,True,False,False,,,,,,,,0,0,1,4,18050710
13,upstream,upstream,0,NN,RB,,,True,False,False,,1.0,1.0,,,,,2,2,2,7,4459299
14,caught,caught,0,NN,VB,,,True,False,False,,,,,,,,0,1,1,3,17749748
15,fish,fish,0,NN,NN,,,True,False,False,,1.0,1.0,,,,,1,2,1,3,52756224
16,by,by,0,IN,IN,,,False,False,False,,,,,,,,0,0,2,3,3350048871
17,stretching,stretching,0,VBG,NN,,,True,False,False,,,1.0,,,,,0,2,2,8,3443172
18,their,their,0,PRP$,PR,,,False,False,False,,,,,,,,0,0,2,4,782849411
19,nets,nets,0,NNS,NN,,,True,False,False,,1.0,1.0,,,,,0,1,1,4,4730591
20,across,across,0,IN,IN,,,False,False,False,,,1.0,,,,,0,1,2,5,76597151
21,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
22,river.,river,1,NN,NN,,,True,True,True,1.0,1.0,,,,,,2,1,2,5,78843808
23,They,they,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,883223816
24,beat,beat,0,NN,VB,,,True,False,False,,,1.0,,,,,0,1,1,3,27616668
25,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
26,water,water,0,NN,NN,,,True,False,False,,1.0,,,,,,0,0,2,5,215178488
27,with,with,0,IN,IN,,,False,False,False,,,,,,,,0,0,1,3,3183110675
28,long,long,0,RB,JJ,,,True,False,False,,,,,,,,0,2,1,4,252519588
29,sticks,sticks,x,NNS,NN,,,True,False,False,,1.0,1.0,,,,,1,1,1,5,6393950
30,to,to,0,TO,RP,,,False,False,False,,,,,,,,0,0,1,2,12136980858
31,make,make,0,VB,RB,,,True,False,False,,,,,,,,0,1,1,3,405084642
32,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
33,fish,fish,0,NN,NN,,,True,False,False,,,,,,,,0,0,1,3,52756224
34,swim,swim,0,NN,VB,,,True,False,False,,1.0,1.0,,,,,0,2,1,4,8739102
35,into,into,0,IN,IN,,,False,False,False,,,,,,,,0,0,2,4,445315294
36,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
37,nets.,nets,1,NNS,NN,,,True,True,True,1.0,1.0,,,,,,2,2,1,4,4730591
38,But,but,0,CC,CC,,,False,False,False,,,,,,,,1,1,1,3,999899654
39,when,when,0,WRB,CC,,,False,False,False,,,,,,,,0,1,1,3,650621178
40,they,they,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,883223816
41,did,did,0,VBD,VB,,,True,False,False,,,1.0,,,,,0,1,1,3,275369513
42,"this,",this,1,DT,PR,,,False,True,False,,1.0,,,,,,1,0,1,3,3228469771
43,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
44,water,water,0,NN,NN,,,True,False,False,,,,,,,,0,2,2,5,215178488
45,became,became,0,VBD,VB,,,True,False,False,,,,,,,,0,0,2,5,37332761
46,very,very,0,RB,RB,,1.0,True,False,False,,,,,,,,0,2,2,4,334923368
47,muddy.,muddy,1,NN,JJ,,,True,True,True,,1.0,1.0,,,,,2,2,2,4,1860188
48,The,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
49,tribe,tribe,0,NN,NN,,,True,False,False,,,,,,,,0,0,1,4,7890695
50,that,that,0,IN,JJ,,,False,False,False,,,,,,,,0,0,1,3,3400031103
51,lived,lived,0,VBD,VB,,,True,False,False,,,,,,,,0,0,1,4,18050710
52,downstream,downstream,0,NN,RB,,,True,False,False,,1.0,1.0,,,,,0,1,2,8,3691197
53,became,became,0,VBD,VB,,,True,False,False,,,,,,,,0,0,2,5,37332761
54,angry.,angry,1,JJ,JJ,,,True,True,True,1.0,1.0,1.0,,,,,2,2,2,5,9267505
