# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,Once,once,1,RB,RB,,,True,False,False,,,,1,1,0,0,1,1,1,4,111882023
1,there,there,0,RB,RB,,,True,False,False,,,,0,1,0,0,0,1,1,3,701170205
2,was,was,0,VBD,VB,,,True,False,False,,,,0,0,0,0,0,0,1,3,1483428678
3,a,a,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,1,9081174698
4,cat,cat,0,NN,NN,,,True,False,False,,,,0,0,0,0,0,0,1,3,46839855
5,called,called,0,VBN,JJ,,,False,False,False,,,,0,0,0,0,0,0,1,4,106978150
6,Tom,tom,x,NN,NP,,,True,False,False,,1.0,1.0,1,1,1,1,2,2,1,3,47775300
7,and,and,0,CC,CC,,,False,False,False,,,,0,0,0,0,0,0,1,3,12997637966
8,a,a,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,1,9081174698
9,rat,rat,0,NN,NN,,,True,False,False,,,,0,1,0,1,0,2,1,3,10626001
10,named,named,0,VBN,JJ,,,False,False,False,,,,0,1,0,0,0,1,1,4,34099544
11,Jerry.,jerry,1,NN,NP,,,True,True,True,,1.0,1.0,1,1,1,1,2,2,2,4,13908229
12,Jerry,jerry,0,NN,NP,,,True,False,False,,,,0,1,0,1,0,2,2,4,13908229
13,was,was,0,VBD,VB,,,True,False,False,,,,0,0,0,0,0,0,1,3,1483428678
14,a,a,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,1,9081174698
15,smart,smart,0,NN,JJ,,,True,False,False,,,1.0,0,1,0,1,0,2,1,5,36636558
16,rat.,rat,1,NN,NN,,,True,True,True,1.0,1.0,,1,0,1,0,2,0,1,3,10626001
17,Every,every,0,DT,JJ,,,False,False,False,,,,0,1,0,1,0,2,2,4,189325890
18,time,time,0,NN,NN,,,True,False,False,,,,0,0,0,0,0,0,1,3,908705570
19,Tom,tom,0,NN,NP,,,True,False,False,,,,0,0,0,0,0,0,1,3,47775300
20,tried,tried,0,VBN,VB,,,False,False,False,,,,0,0,0,0,0,0,1,4,34201786
21,to,to,0,TO,RP,,,False,False,False,,,,0,0,0,0,0,0,1,2,12136980858
22,catch,catch,0,NN,RB,,,True,False,False,,,1.0,0,1,0,1,0,2,1,3,20400979
23,"him,",him,1,PRP,PR,,,False,True,False,,1.0,,1,0,1,0,2,0,1,3,219516023
24,he,he,0,PRP,PR,,,False,False,False,,,,0,0,0,0,0,0,1,2,842847219
25,would,would,0,MD,MD,,,False,False,False,,,,0,0,0,0,0,0,1,3,572644147
26,run,run,0,VB,VB,,,True,False,False,,,,0,1,0,1,0,2,1,3,117213565
