# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,सालों,,,,,,,,,,,,,,,,,0,,,,
1,पहले,,,,,,,,,,,,,,,,,0.5,,,,
2,एक,,,,,,,,,,,,,,,,,0,,,,
3,घंटाघर,,,,,,,,,,,,,,,,,0,,,,
4,में,,,,,,,,,,,,,,,,,1,,,,
5,टींकू,,,,,,,,,,,,,,,,,0,,,,
6,चिड़िया,,,,,,,,,,,,,,,,,0.5,,,,
7,अपने,,,,,,,,,,,,,,,,,0,,,,
8,माता-,,,,,,,,,,,,,,,,,0,,,,
9,पिता,,,,,,,,,,,,,,,,,1,,,,
10,और,,,,,,,,,,,,,,,,,0,,,,
11,पाँच,,,,,,,,,,,,,,,,,0,,,,
12,भाइयों,,,,,,,,,,,,,,,,,0,,,,
13,के,,,,,,,,,,,,,,,,,0,,,,
14,साथ,,,,,,,,,,,,,,,,,0,,,,
15,रहती,,,,,,,,,,,,,,,,,0,,,,
16,थी।,,,,,,,,,,,,,,,,,2,,,,
17,टींकू,,,,,,,,,,,,,,,,,0,,,,
18,चिड़िया,,,,,,,,,,,,,,,,,0.5,,,,
19,छोटी,,,,,,,,,,,,,,,,,0,,,,
20,सी,,,,,,,,,,,,,,,,,0,,,,
21,थी।,,,,,,,,,,,,,,,,,2,,,,
22,उसके,,,,,,,,,,,,,,,,,0,,,,
23,पंख,,,,,,,,,,,,,,,,,0,,,,
24,मुलायम,,,,,,,,,,,,,,,,,0,,,,
25,थे।,,,,,,,,,,,,,,,,,2,,,,
26,उसकी,,,,,,,,,,,,,,,,,0,,,,
27,माँ,,,,,,,,,,,,,,,,,0,,,,
28,ने,,,,,,,,,,,,,,,,,0,,,,
29,उसे,,,,,,,,,,,,,,,,,0.5,,,,
30,घंटाघर,,,,,,,,,,,,,,,,,0,,,,
31,की,,,,,,,,,,,,,,,,,0,,,,
32,ताल,,,,,,,,,,,,,,,,,0,,,,
33,पर,,,,,,,,,,,,,,,,,0.5,,,,
34,चहकना,,,,,,,,,,,,,,,,,0,,,,
35,सिखाया,,,,,,,,,,,,,,,,,0,,,,
36,था।,,,,,,,,,,,,,,,,,2,,,,
37,घंटाघर,,,,,,,,,,,,,,,,,0,,,,
38,के,,,,,,,,,,,,,,,,,0,,,,
39,पास,,,,,,,,,,,,,,,,,0,,,,
40,ही,,,,,,,,,,,,,,,,,0.5,,,,
41,एक,,,,,,,,,,,,,,,,,0,,,,
42,घर,,,,,,,,,,,,,,,,,0,,,,
43,"था,",,,,,,,,,,,,,,,,,1,,,,
44,जिसमें,,,,,,,,,,,,,,,,,0,,,,
45,पक्षियों,,,,,,,,,,,,,,,,,0,,,,
46,से,,,,,,,,,,,,,,,,,0,,,,
47,प्यार,,,,,,,,,,,,,,,,,0,,,,
48,करने,,,,,,,,,,,,,,,,,0,,,,
49,वाली,,,,,,,,,,,,,,,,,0.5,,,,
50,एक,,,,,,,,,,,,,,,,,0,,,,
51,महिला,,,,,,,,,,,,,,,,,0,,,,
52,रहती,,,,,,,,,,,,,,,,,0,,,,
53,थी।,,,,,,,,,,,,,,,,,2,,,,
54,वह,,,,,,,,,,,,,,,,,0,,,,
55,टींकू,,,,,,,,,,,,,,,,,0,,,,
56,चिड़िया,,,,,,,,,,,,,,,,,0.5,,,,
57,और,,,,,,,,,,,,,,,,,0,,,,
58,उसके,,,,,,,,,,,,,,,,,0,,,,
59,परिवार,,,,,,,,,,,,,,,,,0,,,,
60,के,,,,,,,,,,,,,,,,,0,,,,
61,लिए,,,,,,,,,,,,,,,,,1,,,,
62,रोज,,,,,,,,,,,,,,,,,0,,,,
63,रोटी,,,,,,,,,,,,,,,,,0,,,,
64,का,,,,,,,,,,,,,,,,,0,,,,
65,टुकड़ा,,,,,,,,,,,,,,,,,0,,,,
66,डालती,,,,,,,,,,,,,,,,,0,,,,
67,थी।,,,,,,,,,,,,,,,,,2,,,,
