# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,मीमी,,,,,,,,,,,,,,,,,0,,,,
1,एक,,,,,,,,,,,,,,,,,0,,,,
2,छोटी,,,,,,,,,,,,,,,,,0,,,,
3,सी,,,,,,,,,,,,,,,,,0,,,,
4,लड़की,,,,,,,,,,,,,,,,,0,,,,
5,थी,,,,,,,,,,,,,,,,,1,,,,
6,जो,,,,,,,,,,,,,,,,,0,,,,
7,एक,,,,,,,,,,,,,,,,,0,,,,
8,भीड़-,,,,,,,,,,,,,,,,,0,,,,
9,भाड़,,,,,,,,,,,,,,,,,0,,,,
10,वाले,,,,,,,,,,,,,,,,,0,,,,
11,शहर,,,,,,,,,,,,,,,,,0,,,,
12,में,,,,,,,,,,,,,,,,,0.5,,,,
13,रहती,,,,,,,,,,,,,,,,,0,,,,
14,थी।,,,,,,,,,,,,,,,,,2,,,,
15,उसे,,,,,,,,,,,,,,,,,0,,,,
16,कहानियाँ,,,,,,,,,,,,,,,,,0,,,,
17,बहुत,,,,,,,,,,,,,,,,,0,,,,
18,पसंद,,,,,,,,,,,,,,,,,0,,,,
19,"थीं,",,,,,,,,,,,,,,,,,1,,,,
20,पर,,,,,,,,,,,,,,,,,0,,,,
21,उसे,,,,,,,,,,,,,,,,,0.5,,,,
22,कहानियाँ,,,,,,,,,,,,,,,,,0,,,,
23,सुनाने,,,,,,,,,,,,,,,,,0,,,,
24,के,,,,,,,,,,,,,,,,,0,,,,
25,लिए,,,,,,,,,,,,,,,,,1,,,,
26,किसी,,,,,,,,,,,,,,,,,0,,,,
27,के,,,,,,,,,,,,,,,,,0,,,,
28,पास,,,,,,,,,,,,,,,,,0.5,,,,
29,समय,,,,,,,,,,,,,,,,,0,,,,
30,नहीं,,,,,,,,,,,,,,,,,0,,,,
31,था।,,,,,,,,,,,,,,,,,2,,,,
32,मीमी,,,,,,,,,,,,,,,,,0,,,,
33,ने,,,,,,,,,,,,,,,,,0,,,,
34,जिससे,,,,,,,,,,,,,,,,,0,,,,
35,भी,,,,,,,,,,,,,,,,,0,,,,
36,कहानियाँ,,,,,,,,,,,,,,,,,0,,,,
37,सुनाने,,,,,,,,,,,,,,,,,0,,,,
38,की,,,,,,,,,,,,,,,,,0,,,,
39,बात,,,,,,,,,,,,,,,,,0,,,,
40,"कही,",,,,,,,,,,,,,,,,,1,,,,
41,उनके,,,,,,,,,,,,,,,,,0,,,,
42,पास,,,,,,,,,,,,,,,,,0.5,,,,
43,कहानियाँ,,,,,,,,,,,,,,,,,0,,,,
44,सुनाने,,,,,,,,,,,,,,,,,0,,,,
45,की,,,,,,,,,,,,,,,,,0,,,,
46,फ़ुर्सत,,,,,,,,,,,,,,,,,0,,,,
47,नहीं,,,,,,,,,,,,,,,,,0,,,,
48,थी।,,,,,,,,,,,,,,,,,2,,,,
49,किसी,,,,,,,,,,,,,,,,,0,,,,
50,के,,,,,,,,,,,,,,,,,0,,,,
51,पास,,,,,,,,,,,,,,,,,0.5,,,,
52,मीमी,,,,,,,,,,,,,,,,,0,,,,
53,के,,,,,,,,,,,,,,,,,0,,,,
54,लिए,,,,,,,,,,,,,,,,,0.5,,,,
55,समय,,,,,,,,,,,,,,,,,0,,,,
56,नहीं,,,,,,,,,,,,,,,,,0,,,,
57,था।,,,,,,,,,,,,,,,,,2,,,,
58,कहानियों,,,,,,,,,,,,,,,,,0,,,,
59,के,,,,,,,,,,,,,,,,,0,,,,
60,लिए,,,,,,,,,,,,,,,,,0.5,,,,
61,तो,,,,,,,,,,,,,,,,,0,,,,
62,बिल्कुल,,,,,,,,,,,,,,,,,0,,,,
63,नहीं।,,,,,,,,,,,,,,,,,2,,,,
