"wordNo","origtext","boundary","prominence"
"0","Today","0","0"
"1","is","0","0"
"2","Nin's","0","0"
"3","first","0","0"
"4","day","0","0"
"5","of","0","0"
"6","school.","2","0"
"7","But","0","0"
"8","Nin","0","0"
"9","can't","0","0"
"10","put","0","0"
"11","on","0","0"
"12","her","0","0"
"13","uniform","0","0"
"14","by","0","0"
"15","herself!","2","0"
"16","She","0","0"
"17","runs","0","0"
"18","to","0","0"
"19","her","0","0"
"20","mother","0","0"
"21","for","0","0"
"22","help.","2","0"
"23","""Mama,","2","0"
"24","will","0","0"
"25","you","0","0"
"26","help","0","0"
"27","me","0","0"
"28","put","0","0"
"29","on","0","0"
"30","my","0","0"
"31","uniform?""","2","0"
"32","asks","0","0"
"33","Nin.","2","0"
"34","""I","0","0"
"35","will","0","0"
"36","help","0","0"
"37","you","0","0"
"38","when","0","0"
"39","I","0","0"
"40","finish","0","0"
"41","cooking,""","2","0"
"42","says","0","0"
"43","Ma.","2","0"
"44","Nin","0","0"
"45","runs","0","0"
"46","outside","0","0"
"47","to","0","0"
"48","find","0","0"
"49","someone","0","0"
"50","else","0","0"
"51","who","0","0"
"52","can","0","0"
"53","help.","2","0"
"54","""Papa,","2","0"
"55","will","0","0"
"56","you","0","0"
"57","help","0","0"
"58","me","0","0"
"59","put","0","0"
"60","on","0","0"
"61","my","0","0"
"62","uniform?""","2","0"
"63","asks","0","0"
"64","Nin.","2","0"
"65","""I","0","0"
"66","will","0","0"
"67","help","0","0"
"68","you","0","0"
"69","when","0","0"
"70","I","0","0"
"71","finish","0","0"
"72","feeding","0","0"
"73","the","0","0"
"74","ducks,""","2","0"
"75","says","0","0"
"76","Papa.","2","0"
"77","""Grandpa,","2","0"
"78","will","0","0"
"79","you","0","0"
"80","help","0","0"
"81","me","0","0"
"82","put","0","0"
"83","on","0","0"
"84","my","0","0"
"85","uniform?""","2","0"
"86","asks","0","0"
"87","Nin.","2","0"
"88","""I","0","0"
"89","am","0","0"
"90","taking","0","0"
"91","the","0","0"
"92","cattle","0","0"
"93","to","0","0"
"94","the","0","0"
"95","field.","2","0"
"96","I'll","0","0"
"97","help","0","0"
"98","you","0","0"
"99","when","0","0"
"100","I","0","0"
"101","come","0","0"
"102","back,""","2","0"
"103","says","0","0"
"104","Grandpa.","2","0"
"105","""Grandma,","2","0"
"106","will","0","0"
"107","you","0","0"
"108","help","0","0"
"109","me","0","0"
"110","put","0","0"
"111","on","0","0"
"112","my","0","0"
"113","uniform?""","2","0"
"114","asks","0","0"
"115","Nin.","2","0"
"116","""I","0","0"
"117","will","0","0"
"118","help","0","0"
"119","you","0","0"
"120","once","0","0"
"121","I","0","0"
"122","finish","0","0"
"123","sweeping","0","0"
"124","leaves","0","0"
"125","from","0","0"
"126","the","0","0"
"127","yard,""","2","0"
"128","says","0","0"
"129","Grandma.","2","0"
"130","""Brother","0","0"
"131","Lah!","2","0"
"132","Will","0","0"
"133","you","0","0"
"134","help","0","0"
"135","me","0","0"
"136","put","0","0"
"137","on","0","0"
"138","my","0","0"
"139","uniform?""","2","0"
"140","asks","0","0"
"141","Nin.","2","0"
"142","""I'll","0","0"
"143","help","0","0"
"144","you","0","0"
"145","when","0","0"
"146","I","0","0"
"147","finish","0","0"
"148","drawing","0","0"
"149","water","0","0"
"150","from","0","0"
"151","the","0","0"
"152","well,""","2","0"
"153","says","0","0"
"154","Brother","0","0"
"155","Lah.","2","0"
"156","No","0","0"
"157","one","0","0"
"158","can","0","0"
"159","help","0","0"
"160","me,","2","0"
"161","thinks","0","0"
"162","Nin","0","0"
"163","sadly.","2","0"
"164","Everyone","0","0"
"165","is","0","0"
"166","so","0","0"
"167","busy!","2","0"
"168","Nin","0","0"
"169","decides","0","0"
"170","to","0","0"
"171","put","0","0"
"172","on","0","0"
"173","her","0","0"
"174","uniform","0","0"
"175","herself.","2","0"
"176","First,","2","0"
"177","it's","0","0"
"178","inside-out.","2","0"
"179","Then,","2","0"
"180","the","0","0"
"181","back","0","0"
"182","is","0","0"
"183","in","0","0"
"184","the","0","0"
"185","front!","2","0"
"186","And","0","0"
"187","then,","2","0"
"188","Nin","0","0"
"189","tries","0","0"
"190","to","0","0"
"191","put","0","0"
"192","on","0","0"
"193","her","0","0"
"194","shoes.","2","0"
"195","Nin","0","0"
"196","looks","0","0"
"197","in","0","0"
"198","the","0","0"
"199","mirror.","2","0"
"200","Oh","0","0"
"201","no!","2","0"
"202","Her","0","0"
"203","uniform","0","0"
"204","is","0","0"
"205","all","0","0"
"206","wrong!","2","0"
"207","Her","0","0"
"208","family","0","0"
"209","looks","0","0"
"210","at","0","0"
"211","her","0","0"
"212","and","0","0"
"213","giggles.","2","0"
"214","""I","0","0"
"215","will","0","0"
"216","help","0","0"
"217","you,""","2","0"
"218","says","0","0"
"219","Ma.","2","0"
"220","""We","0","0"
"221","will","0","0"
"222","also","0","0"
"223","help","0","0"
"224","you!""","2","0"
"225","say","0","0"
"226","Brother","0","0"
"227","Lah","0","0"
"228","and","0","0"
"229","Papa.","2","0"
"230","Now,","2","0"
"231","Nin","0","0"
"232","is","0","0"
"233","finally","0","0"
"234","ready","0","0"
"235","for","0","0"
"236","school.","2","0"
"237","Have","0","0"
"238","a","0","0"
"239","great","0","0"
"240","first","0","0"
"241","day,","2","0"
"242","Nin!","2","0"
