"wordNo","origtext","boundary","prominence"
"0","I","0","0"
"1","can","0","0"
"2","smell","0","0"
"3","it","0","0"
"4","with","0","0"
"5","my","0","0"
"6","nose.","2","0"
"7","Oh!","2","0"
"8","This","0","0"
"9","sugarcane","0","0"
"10","is","0","0"
"11","so","0","0"
"12","tough!","2","0"
"13","But","0","0"
"14","my","0","0"
"15","teeth","0","0"
"16","are","0","0"
"17","strong","0","0"
"18","too!","2","0"
"19","It","0","0"
"20","is","0","0"
"21","very","0","0"
"22","sweet.","2","0"
"23","My","0","0"
"24","tongue","0","0"
"25","just","0","0"
"26","told","0","0"
"27","me.","2","0"
"28","I","0","0"
"29","can","0","0"
"30","sing.","2","0"
"31","Should","0","0"
"32","I","0","0"
"33","sing","0","0"
"34","you","0","0"
"35","a","0","0"
"36","song?","2","0"
"37","Ma","0","0"
"38","says","0","0"
"39","I","0","0"
"40","have","0","0"
"41","a","0","0"
"42","good","0","0"
"43","voice.","2","0"
"44","Does","0","0"
"45","it","0","0"
"46","come","0","0"
"47","from","0","0"
"48","my","0","0"
"49","throat?","2","0"
