"wordNo","origtext","boundary","prominence"
"0","यह","0","0"
"1","मेरा","0","0"
"2","घर","0","0"
"3","है।","2","0"
"4","मैं","0","0"
"5","यहाँ","0","0"
"6","अपने","0","0"
"7","पूरे","0","0"
"8","परिवार","0","0"
"9","के","0","0"
"10","साथ","0","0"
"11","रहती","0","0"
"12","हूँ।","2","0"
"13","हम","0","0"
"14","अपने","0","0"
"15","जूते","0","0"
"16","और","0","0"
"17","चप्पल","0","0"
"18","यहाँ","0","0"
"19","उतारते","0","0"
"20","हैं।","2","0"
"21","यहाँ","0","0"
"22","हम","0","0"
"23","अपने","0","0"
"24","हाथ-मुँह","0","0"
"25","धोते","0","0"
"26","हैं।","2","0"
"27","मैं","0","0"
"28","अपने","0","0"
"29","कपड़े","0","0"
"30","खूँटी","0","0"
"31","पर","0","0"
"32","टाँगती","0","0"
"33","हूँ।","2","0"
"34","मेरे","0","0"
"35","दादा","0","0"
"36","जी","0","0"
"37","अपनी","0","0"
"38","छड़ी","0","0"
"39","कोने","0","0"
"40","में","0","0"
"41","रखते","0","0"
"42","हैं।","2","0"
"43","हम","0","0"
"44","अपनी","0","0"
"45","चटाइयाँ","0","0"
"46","भी","0","0"
"47","वहीं","0","0"
"48","रखते","0","0"
"49","हैं।","2","0"
"50","मेरे","0","0"
"51","पिता","0","0"
"52","जी","0","0"
"53","अपनी","0","0"
"54","मोटरसाइकिल","0","0"
"55","बाहर","0","0"
"56","रखते","0","0"
"57","हैं।","2","0"
"58","लेकिन","0","0"
"59","उनका","0","0"
"60","हेल्मेट","0","0"
"61","अलमारी","0","0"
"62","के","0","0"
"63","ऊपर","0","0"
"64","रहता","0","0"
"65","है।","2","0"
