"wordNo","origtext","boundary","prominence"
"0","हमें","0","0"
"1","नानी","0","0"
"2","के","0","0"
"3","गाँव","0","0"
"4","जाना","0","0"
"5","अच्छा","0","0"
"6","लगता","0","0"
"7","है।","2","0"
"8","नानी","0","0"
"9","के","0","0"
"10","बगीचे","0","0"
"11","में","0","0"
"12","एक","0","0"
"13","बड़ा","0","0"
"14","सा","0","0"
"15","आम","0","0"
"16","का","0","0"
"17","पेड़","0","0"
"18","है।","2","0"
"19","उस","0","0"
"20","पर","0","0"
"21","बहुत","0","0"
"22","सी","0","0"
"23","चिड़ियाँ","0","0"
"24","आती","0","0"
"25","हैं।","2","0"
"26","मुझे","0","0"
"27","आम","0","0"
"28","के","0","0"
"29","पेड़","0","0"
"30","पर","0","0"
"31","छुपना","0","0"
"32","बड़ा","0","0"
"33","अच्छा","0","0"
"34","लगता","0","0"
"35","है।","2","0"
"36","यहाँ","0","0"
"37","कोई","0","0"
"38","मुझे","0","0"
"39","ढूँढ","0","0"
"40","नहीं","0","0"
"41","पाता।","2","0"
"42","बाबा","0","0"
"43","मुझे","0","0"
"44","कुएँ","0","0"
"45","के","0","0"
"46","पास","0","0"
"47","खोजते","0","0"
"48","हैं।","2","0"
"49","माँ","0","0"
"50","गौशाला","0","0"
"51","के","0","0"
"52","आस-पास","0","0"
"53","ढ़ूँढती","0","0"
"54","हैं।","2","0"
"55","पर","0","0"
"56","मैं","0","0"
"57","किसी","0","0"
"58","को","0","0"
"59","नहीं","0","0"
"60","मिलती।","2","0"
"61","अरे,","2","0"
"62","नहीं!","2","0"
"63","नानी","0","0"
"64","का","0","0"
"65","कुत्ता","0","0"
"66","मुझे","0","0"
"67","ढ़ूँढ","0","0"
"68","निकालता","0","0"
"69","है।","2","0"
"70","तब","0","0"
"71","मुझे","0","0"
"72","नीचे","0","0"
"73","जाना","0","0"
"74","ही","0","0"
"75","पड़ता","0","0"
"76","है।","2","0"
