"wordNo","origtext","boundary","prominence"
"0","हमारे","0","0"
"1","घर","0","0"
"2","का","0","0"
"3","स्वाद","0","0"
"4","उस","0","0"
"5","खस्ते,","2","0"
"6","मीठे,","2","0"
"7","तिल","0","0"
"8","के","0","0"
"9","पीठे","0","0"
"10","की","0","0"
"11","तरह","0","0"
"12","है","0","0"
"13","जिसे","0","0"
"14","अनाईडो","0","0"
"15","अपनी","0","0"
"16","रसोई","0","0"
"17","में","0","0"
"18","पीसकर","0","0"
"19","बनाती","0","0"
"20","हैं।","2","0"
"21","हमारे","0","0"
"22","घर","0","0"
"23","की","0","0"
"24","आवाज़","0","0"
"25","पापा","0","0"
"26","के","0","0"
"27","उन","0","0"
"28","तेज़","0","0"
"29","खर्राटों","0","0"
"30","की","0","0"
"31","तरह","0","0"
"32","है","0","0"
"33","जो","0","0"
"34","उनकी","0","0"
"35","दोपहर","0","0"
"36","की","0","0"
"37","झपकी","0","0"
"38","लेने","0","0"
"39","से","0","0"
"40","पूरे","0","0"
"41","कमरे","0","0"
"42","को","0","0"
"43","हिला","0","0"
"44","देती","0","0"
"45","है।","2","0"
"46","हमारा","0","0"
"47","घर","0","0"
"48","ऐसा","0","0"
"49","दिखता","0","0"
"50","है","0","0"
"51","जैसे","0","0"
"52","माँ","0","0"
"53","बैठक","0","0"
"54","में","0","0"
"55","करघे","0","0"
"56","पर","0","0"
"57","बुनाई","0","0"
"58","कर","0","0"
"59","रही","0","0"
"60","हों,","2","0"
"61","और","0","0"
"62","मैं","0","0"
"63","और","0","0"
"64","हुन्तु","0","0"
"65","कुश्ती","0","0"
"66","कर","0","0"
"67","रहे","0","0"
"68","हों।","2","0"
"69","हमारे","0","0"
"70","घर","0","0"
"71","का","0","0"
"72","एहसास","0","0"
"73","गर्म","0","0"
"74","उमस","0","0"
"75","भरे","0","0"
"76","दिन","0","0"
"77","में","0","0"
"78","बाहर","0","0"
"79","खेलकर","0","0"
"80","आने","0","0"
"81","के","0","0"
"82","बाद","0","0"
"83","गुसलखाने","0","0"
"84","में","0","0"
"85","पानी","0","0"
"86","की","0","0"
"87","ठंडी","0","0"
"88","बौछार","0","0"
"89","जैसा","0","0"
"90","है।","2","0"
