"wordNo","origtext","boundary","prominence"
"0","मैं","0","0"
"1","भी","0","0"
"2","चलाऊँ?","2","0"
"3","नहीं,","2","0"
"4","अभी","0","0"
"5","तुम","0","0"
"6","छोटे","0","0"
"7","हो।","2","0"
"8","दीदी","0","0"
"9","पानी","0","0"
"10","चला","0","0"
"11","दो।","2","0"
"12","अब","0","0"
"13","तुम","0","0"
"14","बड़े","0","0"
"15","हो","0","0"
"16","गए","0","0"
"17","हो।","2","0"
"18","खुद","0","0"
"19","चलाओ।","2","0"
"20","माँ,","2","0"
"21","मैं","0","0"
"22","भी","0","0"
"23","काटूँ?","2","0"
"24","नहीं,","2","0"
"25","तुम","0","0"
"26","अभी","0","0"
"27","छोटे","0","0"
"28","हो।","2","0"
"29","माँ,","2","0"
"30","खाना","0","0"
"31","खिलाओ।","2","0"
"32","अब","0","0"
"33","तुम","0","0"
"34","बड़े","0","0"
"35","हो","0","0"
"36","गए","0","0"
"37","हो।","2","0"
"38","खुद","0","0"
"39","खाओ।","2","0"
"40","मैं","0","0"
"41","भी","0","0"
"42","करूँ?","2","0"
"43","नहीं,","2","0"
"44","अभी","0","0"
"45","तुम","0","0"
"46","छोटे","0","0"
"47","हो।","2","0"
"48","जूते","0","0"
"49","पहना","0","0"
"50","दो।","2","0"
"51","अब","0","0"
"52","तुम","0","0"
"53","बड़े","0","0"
"54","हो","0","0"
"55","गए","0","0"
"56","हो।","2","0"
"57","खुद","0","0"
"58","पहनो।","2","0"
"59","मैं","0","0"
"60","बड़ा","0","0"
"61","हूँ","0","0"
"62","या","0","0"
"63","छोटा?","2","0"
"64","अरे!","2","0"
"65","ये","0","0"
"66","तो","0","0"
"67","माँ","0","0"
"68","का","0","0"
"69","है।","2","0"
"70","मैंने","0","0"
"71","इसे","0","0"
"72","कितना","0","0"
"73","ढूँढ़ा","0","0"
"74","था।","2","0"
"75","अब","0","0"
"76","तो","0","0"
"77","तुम","0","0"
"78","बड़े","0","0"
"79","हो","0","0"
"80","गए!","2","0"
"81","पर","0","0"
"82","मैंने","0","0"
"83","तो","0","0"
"84","कुछ","0","0"
"85","किया","0","0"
"86","ही","0","0"
"87","नहीं!","2","0"
