"wordNo","origtext","boundary","prominence"
"0","उसने","0","0"
"1","बाकी","0","0"
"2","चिड़ियों","0","0"
"3","से","0","0"
"4","कहा,","2","0"
"5","""हम","0","0"
"6","भभो","0","0"
"7","को","0","0"
"8","वहीं","0","0"
"9","खाना","0","0"
"10","पहुँचा","0","0"
"11","दिया","0","0"
"12","करेंगें।""","2","0"
"13","बस","0","0"
"14","अब","0","0"
"15","भभो","0","0"
"16","को","0","0"
"17","और","0","0"
"18","क्या","0","0"
"19","चाहिए","0","0"
"20","था।","2","0"
"21","मज़े","0","0"
"22","से","0","0"
"23","बैठकर","0","0"
"24","खाती","0","0"
"25","और","0","0"
"26","सींग","0","0"
"27","पर","0","0"
"28","लगी","0","0"
"29","छतरी","0","0"
"30","की","0","0"
"31","छाया","0","0"
"32","में","0","0"
"33","आराम","0","0"
"34","करती।","2","0"
"35","उसका","0","0"
"36","वह","0","0"
"37","रूप","0","0"
"38","देखते","0","0"
"39","ही","0","0"
"40","बनता","0","0"
"41","था।","2","0"
"42","सींग","0","0"
"43","पर","0","0"
"44","पेड़,","2","0"
"45","पेड़","0","0"
"46","पर","0","0"
"47","पत्ते,","2","0"
"48","पत्तों","0","0"
"49","के","0","0"
"50","बीच","0","0"
"51","फूल,","2","0"
"52","फूलों","0","0"
"53","के","0","0"
"54","बीच","0","0"
"55","एक","0","0"
"56","घोंसला","0","0"
"57","और","0","0"
"58","घोंसले","0","0"
"59","में","0","0"
"60","दो","0","0"
"61","अंडे।","2","0"
"62","कोई","0","0"
"63","कहता,","2","0"
"64","""भभो","0","0"
"65","तुम","0","0"
"66","बहुत","0","0"
"67","आलसी","0","0"
"68","हो।""","2","0"
"69","तो","0","0"
"70","वह","0","0"
"71","कहती,","2","0"
"72","""इतना","0","0"
"73","तो","0","0"
"74","कर","0","0"
"75","रही","0","0"
"76","हूँ।","2","0"
