"wordNo","origtext","boundary","prominence"
"0","Saturday","0","0"
"1","began","0","0"
"2","with","0","0"
"3","a","0","0"
"4","bang!","2","0"
"5","Badaboom!","2","0"
"6","""Ma,","2","0"
"7","is","0","0"
"8","that","0","0"
"9","thunder","0","0"
"10","I","0","0"
"11","hear?","2","0"
"12","Will","0","0"
"13","it","0","0"
"14","rain","0","0"
"15","very","0","0"
"16","soon?""","2","0"
"17","asked","0","0"
"18","Manu.","2","0"
"19","And","0","0"
"20","then","0","0"
"21","at","0","0"
"22","last,","2","0"
"23","it","0","0"
"24","started","0","0"
"25","raining!","2","0"
"26","""Oh,","2","0"
"27","it's","0","0"
"28","raining,","2","0"
"29","it's","0","0"
"30","raining,""","2","0"
"31","sang","0","0"
"32","Manu,","2","0"
"33","running","0","0"
"34","out.","2","0"
"35","""But","0","0"
"36","Manu,""","2","0"
"37","called","0","0"
"38","Ma,","2","0"
"39","running","0","0"
"40","after","0","0"
"41","him,","2","0"
"42","""you","0","0"
"43","forgot","0","0"
"44","your","0","0"
"45","raincoat!""","2","0"
