"wordNo","origtext","boundary","prominence"
"0","YOU","0","0"
"1","WILL","0","0"
"2","NEED:","2","0"
"3","a","0","0"
"4","sock","0","0"
"5","two","0","0"
"6","buttons","0","0"
"7","a","0","0"
"8","needle","0","0"
"9","and","0","0"
"10","thread","0","0"
"11","a","0","0"
"12","grown-up","0","0"
"13","to","0","0"
"14","help","0","0"
"15","INSTRUCTIONS","0","0"
"16","Ask","0","0"
"17","your","0","0"
"18","grown-up","0","0"
"19","to","0","0"
"20","sew","0","0"
"21","the","0","0"
"22","buttons","0","0"
"23","onto","0","0"
"24","the","0","0"
"25","sock.","2","0"
