# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,The,the,,,,,,,,,,,,,,,,0,0,,,
1,Crocodile,crocodile,,,,,,,,,,,,,,,,0,2,,,
2,went,went,,,,,,,,,,,,,,,,0,0,,,
3,to,to,,,,,,,,,,,,,,,,0,0,,,
4,the,the,,,,,,,,,,,,,,,,0,0,,,
5,dentist,dentist,,,,,,,,,,,,,,,,1,2,,,
6,and,and,,,,,,,,,,,,,,,,0,0,,,
7,sat,sat,,,,,,,,,,,,,,,,0,0,,,
8,down,down,,,,,,,,,,,,,,,,0,0,,,
9,in,in,,,,,,,,,,,,,,,,0,0,,,
10,the,the,,,,,,,,,,,,,,,,0,0,,,
11,"chair,",chair,,,,,,,,,,,,,,,,2,2,,,
12,and,and,,,,,,,,,,,,,,,,0,0,,,
13,the,the,,,,,,,,,,,,,,,,0,0,,,
14,dentist,dentist,,,,,,,,,,,,,,,,0,2,,,
15,"said,",said,,,,,,,,,,,,,,,,1,0,,,
16,"""Now",now,,,,,,,,,,,,,,,,0,2,,,
17,tell,tell,,,,,,,,,,,,,,,,0,0,,,
18,"me,",me,,,,,,,,,,,,,,,,1,0,,,
19,"sir,",sir,,,,,,,,,,,,,,,,1,2,,,
20,why,why,,,,,,,,,,,,,,,,0,2,,,
21,does,does,,,,,,,,,,,,,,,,0,0,,,
22,it,it,,,,,,,,,,,,,,,,0,0,,,
23,hurt,hurt,,,,,,,,,,,,,,,,1,2,,,
24,and,and,,,,,,,,,,,,,,,,0,0,,,
25,"where?""",where,,,,,,,,,,,,,,,,2,2,,,
26,And,and,,,,,,,,,,,,,,,,0,0,,,
27,the,the,,,,,,,,,,,,,,,,0,0,,,
28,Crocodile,crocodile,,,,,,,,,,,,,,,,0,2,,,
29,"said,",said,,,,,,,,,,,,,,,,1,0,,,
30,"""I'll",i'll,,,,,,,,,,,,,,,,0,0,,,
31,tell,tell,,,,,,,,,,,,,,,,0,2,,,
32,you,you,,,,,,,,,,,,,,,,0,0,,,
33,the,the,,,,,,,,,,,,,,,,0,0,,,
34,"truth,",truth,,,,,,,,,,,,,,,,2,2,,,
35,I,i,,,,,,,,,,,,,,,,0,0,,,
36,have,have,,,,,,,,,,,,,,,,0,0,,,
37,a,a,,,,,,,,,,,,,,,,0,0,,,
38,terrible,terrible,,,,,,,,,,,,,,,,0,2,,,
39,ache,ache,,,,,,,,,,,,,,,,1,0,,,
40,in,in,,,,,,,,,,,,,,,,0,0,,,
41,my,my,,,,,,,,,,,,,,,,0,0,,,
42,"tooth,""",tooth,,,,,,,,,,,,,,,,1,2,,,
43,And,and,,,,,,,,,,,,,,,,0,0,,,
44,he,he,,,,,,,,,,,,,,,,0,0,,,
45,opened,opened,,,,,,,,,,,,,,,,0,0,,,
46,his,his,,,,,,,,,,,,,,,,0,0,,,
47,jaws,jaws,,,,,,,,,,,,,,,,1,2,,,
48,so,so,,,,,,,,,,,,,,,,0,2,,,
49,"wide,",wide,,,,,,,,,,,,,,,,1,0,,,
50,so,so,,,,,,,,,,,,,,,,0,2,,,
51,"wide,",wide,,,,,,,,,,,,,,,,1,0,,,
52,then,then,,,,,,,,,,,,,,,,0,0,,,
53,the,the,,,,,,,,,,,,,,,,0,0,,,
54,"dentist,",dentist,,,,,,,,,,,,,,,,1,2,,,
55,he,he,,,,,,,,,,,,,,,,0,0,,,
56,climbed,climbed,,,,,,,,,,,,,,,,0,2,,,
57,right,right,,,,,,,,,,,,,,,,0,0,,,
58,"inside,",inside,,,,,,,,,,,,,,,,2,2,,,
59,and,and,,,,,,,,,,,,,,,,0,0,,,
60,the,the,,,,,,,,,,,,,,,,0,0,,,
61,dentist,dentist,,,,,,,,,,,,,,,,0,2,,,
