# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,There,there,,,,,,,,,,,,,,,,0,,,,
1,was,was,,,,,,,,,,,,,,,,0,,,,
2,once,once,,,,,,,,,,,,,,,,0.5,,,,
3,a,a,,,,,,,,,,,,,,,,0,,,,
4,little,little,,,,,,,,,,,,,,,,0,,,,
5,princess.,princess,,,,,,,,,,,,,,,,2,,,,
6,She,she,,,,,,,,,,,,,,,,0,,,,
7,lived,lived,,,,,,,,,,,,,,,,0.5,,,,
8,in,in,,,,,,,,,,,,,,,,0,,,,
9,a,a,,,,,,,,,,,,,,,,0,,,,
10,big,big,,,,,,,,,,,,,,,,0,,,,
11,palace.,palace,,,,,,,,,,,,,,,,2,,,,
12,She,she,,,,,,,,,,,,,,,,0,,,,
13,had,had,,,,,,,,,,,,,,,,0.5,,,,
14,everything.,everything,,,,,,,,,,,,,,,,2,,,,
15,She,she,,,,,,,,,,,,,,,,0,,,,
16,had,had,,,,,,,,,,,,,,,,0.5,,,,
17,beautiful,beautiful,,,,,,,,,,,,,,,,0,,,,
18,clothes.,clothes,,,,,,,,,,,,,,,,2,,,,
19,She,she,,,,,,,,,,,,,,,,0,,,,
20,had,had,,,,,,,,,,,,,,,,0.5,,,,
21,lovely,lovely,,,,,,,,,,,,,,,,0,,,,
22,toys.,toys,,,,,,,,,,,,,,,,2,,,,
23,She,she,,,,,,,,,,,,,,,,0,,,,
24,had,had,,,,,,,,,,,,,,,,0.5,,,,
25,the,the,,,,,,,,,,,,,,,,0,,,,
26,best,best,,,,,,,,,,,,,,,,0,,,,
27,food.,food,,,,,,,,,,,,,,,,2,,,,
28,But,but,,,,,,,,,,,,,,,,0.5,,,,
29,the,the,,,,,,,,,,,,,,,,0,,,,
30,princess,princess,,,,,,,,,,,,,,,,0.5,,,,
31,never,never,,,,,,,,,,,,,,,,0,,,,
32,smiled.,smiled,,,,,,,,,,,,,,,,2,,,,
33,She,she,,,,,,,,,,,,,,,,0,,,,
34,was,was,,,,,,,,,,,,,,,,0.5,,,,
35,always,always,,,,,,,,,,,,,,,,0,,,,
36,sad.,sad,,,,,,,,,,,,,,,,2,,,,
37,She,she,,,,,,,,,,,,,,,,0,,,,
38,was,was,,,,,,,,,,,,,,,,0.5,,,,
39,a,a,,,,,,,,,,,,,,,,0,,,,
40,sad,sad,,,,,,,,,,,,,,,,0,,,,
41,little,little,,,,,,,,,,,,,,,,0,,,,
42,princess.,princess,,,,,,,,,,,,,,,,2,,,,
43,One,one,,,,,,,,,,,,,,,,0,,,,
44,"day,",day,,,,,,,,,,,,,,,,1,,,,
45,the,the,,,,,,,,,,,,,,,,0,,,,
46,sad,sad,,,,,,,,,,,,,,,,0,,,,
47,little,little,,,,,,,,,,,,,,,,0,,,,
48,princess,princess,,,,,,,,,,,,,,,,0.5,,,,
49,went,went,,,,,,,,,,,,,,,,0,,,,
50,for,for,,,,,,,,,,,,,,,,0,,,,
51,a,a,,,,,,,,,,,,,,,,0,,,,
52,walk.,walk,,,,,,,,,,,,,,,,2,,,,
53,She,she,,,,,,,,,,,,,,,,0,,,,
54,went,went,,,,,,,,,,,,,,,,0,,,,
55,to,to,,,,,,,,,,,,,,,,0,,,,
56,the,the,,,,,,,,,,,,,,,,0,,,,
57,forest.,forest,,,,,,,,,,,,,,,,2,,,,
58,She,she,,,,,,,,,,,,,,,,0,,,,
59,walked,walked,,,,,,,,,,,,,,,,0,,,,
60,slowly.,slowly,,,,,,,,,,,,,,,,2,,,,
