# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,He,he,,,,,,,,,,,,,,,,0,,,,
1,went,went,,,,,,,,,,,,,,,,0,,,,
2,out,out,,,,,,,,,,,,,,,,0,,,,
3,looking,looking,,,,,,,,,,,,,,,,0.5,,,,
4,for,for,,,,,,,,,,,,,,,,0,,,,
5,the,the,,,,,,,,,,,,,,,,0,,,,
6,lost,lost,,,,,,,,,,,,,,,,0,,,,
7,sheep.,sheep,,,,,,,,,,,,,,,,2,,,,
8,He,he,,,,,,,,,,,,,,,,0,,,,
9,walked,walked,,,,,,,,,,,,,,,,0,,,,
10,all,all,,,,,,,,,,,,,,,,0,,,,
11,the,the,,,,,,,,,,,,,,,,0,,,,
12,way,way,,,,,,,,,,,,,,,,0.5,,,,
13,back,back,,,,,,,,,,,,,,,,0,,,,
14,to,to,,,,,,,,,,,,,,,,0,,,,
15,the,the,,,,,,,,,,,,,,,,0,,,,
16,river.,river,,,,,,,,,,,,,,,,2,,,,
17,At,at,,,,,,,,,,,,,,,,0,,,,
18,"last,",last,,,,,,,,,,,,,,,,1,,,,
19,late,late,,,,,,,,,,,,,,,,0,,,,
20,in,in,,,,,,,,,,,,,,,,0,,,,
21,the,the,,,,,,,,,,,,,,,,0,,,,
22,"night,",night,,,,,,,,,,,,,,,,1,,,,
23,he,he,,,,,,,,,,,,,,,,0,,,,
24,found,found,,,,,,,,,,,,,,,,0,,,,
25,the,the,,,,,,,,,,,,,,,,0,,,,
26,sheep,sheep,,,,,,,,,,,,,,,,0,,,,
27,in,in,,,,,,,,,,,,,,,,0,,,,
28,a,a,,,,,,,,,,,,,,,,0,,,,
29,bush.,bush,,,,,,,,,,,,,,,,2,,,,
30,The,the,,,,,,,,,,,,,,,,0,,,,
31,bush,bush,,,,,,,,,,,,,,,,0,,,,
32,was,was,,,,,,,,,,,,,,,,0,,,,
33,full,full,,,,,,,,,,,,,,,,0,,,,
34,of,of,,,,,,,,,,,,,,,,0,,,,
35,thorns.,thorns,,,,,,,,,,,,,,,,2,,,,
36,He,he,,,,,,,,,,,,,,,,0,,,,
37,got,got,,,,,,,,,,,,,,,,0,,,,
38,the,the,,,,,,,,,,,,,,,,0,,,,
39,sheep,sheep,,,,,,,,,,,,,,,,0,,,,
40,out,out,,,,,,,,,,,,,,,,1,,,,
41,and,and,,,,,,,,,,,,,,,,0,,,,
42,carried,carried,,,,,,,,,,,,,,,,0,,,,
43,it,it,,,,,,,,,,,,,,,,0,,,,
44,home.,home,,,,,,,,,,,,,,,,2,,,,
45,He,he,,,,,,,,,,,,,,,,0,,,,
46,was,was,,,,,,,,,,,,,,,,0,,,,
47,happy.,happy,,,,,,,,,,,,,,,,2,,,,
48,He,he,,,,,,,,,,,,,,,,0,,,,
49,showed,showed,,,,,,,,,,,,,,,,0,,,,
50,the,the,,,,,,,,,,,,,,,,0,,,,
51,sheep,sheep,,,,,,,,,,,,,,,,0.5,,,,
52,to,to,,,,,,,,,,,,,,,,0,,,,
53,his,his,,,,,,,,,,,,,,,,0,,,,
54,friends.,friends,,,,,,,,,,,,,,,,2,,,,
55,All,all,,,,,,,,,,,,,,,,0,,,,
56,of,of,,,,,,,,,,,,,,,,0,,,,
57,them,them,,,,,,,,,,,,,,,,0,,,,
58,were,were,,,,,,,,,,,,,,,,0,,,,
59,happy,happy,,,,,,,,,,,,,,,,0,,,,
60,too.,too,,,,,,,,,,,,,,,,2,,,,
