# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,"Sometimes,",sometimes,,,,,,,,,,,,,,,,1,,,,
1,when,when,,,,,,,,,,,,,,,,0,,,,
2,you,you,,,,,,,,,,,,,,,,0,,,,
3,are,are,,,,,,,,,,,,,,,,0,,,,
4,"sick,",sick,,,,,,,,,,,,,,,,1,,,,
5,you,you,,,,,,,,,,,,,,,,0,,,,
6,might,might,,,,,,,,,,,,,,,,0,,,,
7,have,have,,,,,,,,,,,,,,,,0,,,,
8,bad,bad,,,,,,,,,,,,,,,,0,,,,
9,dreams,dreams,,,,,,,,,,,,,,,,1,,,,
10,that,that,,,,,,,,,,,,,,,,0,,,,
11,you,you,,,,,,,,,,,,,,,,0,,,,
12,remember,remember,,,,,,,,,,,,,,,,0,,,,
13,in,in,,,,,,,,,,,,,,,,0,,,,
14,the,the,,,,,,,,,,,,,,,,0,,,,
15,morning.,morning,,,,,,,,,,,,,,,,2,,,,
16,A,a,,,,,,,,,,,,,,,,0,,,,
17,bad,bad,,,,,,,,,,,,,,,,0,,,,
18,dream,dream,,,,,,,,,,,,,,,,0.5,,,,
19,cannot,cannot,,,,,,,,,,,,,,,,0,,,,
20,really,really,,,,,,,,,,,,,,,,0,,,,
21,hurt,hurt,,,,,,,,,,,,,,,,0,,,,
22,you.,you,,,,,,,,,,,,,,,,2,,,,
23,Some,some,,,,,,,,,,,,,,,,0,,,,
24,people,people,,,,,,,,,,,,,,,,0.5,,,,
25,talk,talk,,,,,,,,,,,,,,,,0,,,,
26,in,in,,,,,,,,,,,,,,,,0,,,,
27,their,their,,,,,,,,,,,,,,,,0,,,,
28,sleep.,sleep,,,,,,,,,,,,,,,,2,,,,
29,But,but,,,,,,,,,,,,,,,,0,,,,
30,some,some,,,,,,,,,,,,,,,,0,,,,
31,people,people,,,,,,,,,,,,,,,,0.5,,,,
32,do,do,,,,,,,,,,,,,,,,0,,,,
33,much,much,,,,,,,,,,,,,,,,0,,,,
34,more!,more,,,,,,,,,,,,,,,,2,,,,
