# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,"So,",so,,,,,,,,,,,,,,,,1,1,,,
1,dams,dams,,,,,,,,,,,,,,,,0,2,,,
2,help,help,,,,,,,,,,,,,,,,0,1,,,
3,us,us,,,,,,,,,,,,,,,,1,1,,,
4,to,to,,,,,,,,,,,,,,,,0,0,,,
5,grow,grow,,,,,,,,,,,,,,,,0,1,,,
6,more,more,,,,,,,,,,,,,,,,0,1,,,
7,food.,food,,,,,,,,,,,,,,,,2,1,,,
8,But,but,,,,,,,,,,,,,,,,0,0,,,
9,nowadays,nowadays,,,,,,,,,,,,,,,,1,1,,,
10,some,some,,,,,,,,,,,,,,,,0,1,,,
11,people,people,,,,,,,,,,,,,,,,0,0,,,
12,do,do,,,,,,,,,,,,,,,,0,0,,,
13,not,not,,,,,,,,,,,,,,,,0,1,,,
14,like,like,,,,,,,,,,,,,,,,0,1,,,
15,dams.,dams,,,,,,,,,,,,,,,,2,1,,,
16,They,they,,,,,,,,,,,,,,,,0,0,,,
17,say,say,,,,,,,,,,,,,,,,0,1,,,
18,that,that,,,,,,,,,,,,,,,,1,0,,,
19,the,the,,,,,,,,,,,,,,,,0,0,,,
20,water,water,,,,,,,,,,,,,,,,0,2,,,
21,behind,behind,,,,,,,,,,,,,,,,0,0,,,
22,a,a,,,,,,,,,,,,,,,,0,0,,,
23,dam,dam,,,,,,,,,,,,,,,,1,1,,,
24,covers,covers,,,,,,,,,,,,,,,,0,1,,,
25,forests,forests,,,,,,,,,,,,,,,,0,1,,,
26,and,and,,,,,,,,,,,,,,,,0,0,,,
27,villages.,villages,,,,,,,,,,,,,,,,2,2,,,
28,The,the,,,,,,,,,,,,,,,,0,0,,,
29,people,people,,,,,,,,,,,,,,,,0,1,,,
30,from,from,,,,,,,,,,,,,,,,0,0,,,
31,those,those,,,,,,,,,,,,,,,,0,1,,,
32,villages,villages,,,,,,,,,,,,,,,,1,0,,,
33,have,have,,,,,,,,,,,,,,,,0,0,,,
34,to,to,,,,,,,,,,,,,,,,0,0,,,
35,leave,leave,,,,,,,,,,,,,,,,0,1,,,
36,their,their,,,,,,,,,,,,,,,,0,0,,,
37,homes,homes,,,,,,,,,,,,,,,,1,1,,,
38,and,and,,,,,,,,,,,,,,,,0,0,,,
39,look,look,,,,,,,,,,,,,,,,0,2,,,
40,for,for,,,,,,,,,,,,,,,,0,0,,,
41,new,new,,,,,,,,,,,,,,,,0,2,,,
42,homes,homes,,,,,,,,,,,,,,,,0.5,0,,,
43,far,far,,,,,,,,,,,,,,,,0,2,,,
44,away.,away,,,,,,,,,,,,,,,,2,1,,,
