# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,Spiders,spiders,,,,,,,,,,,,,,,,0,2,,,
1,differ,differ,,,,,,,,,,,,,,,,0,1,,,
2,in,in,,,,,,,,,,,,,,,,0,0,,,
3,size,size,,,,,,,,,,,,,,,,1,1,,,
4,from,from,,,,,,,,,,,,,,,,0,0,,,
5,three,three,,,,,,,,,,,,,,,,0,2,,,
6,inches,inches,,,,,,,,,,,,,,,,1,1,,,
7,to,to,,,,,,,,,,,,,,,,0,0,,,
8,those,those,,,,,,,,,,,,,,,,1,1,,,
9,which,which,,,,,,,,,,,,,,,,0,0,,,
10,can,can,,,,,,,,,,,,,,,,0,0,,,
11,hardly,hardly,,,,,,,,,,,,,,,,0,2,,,
12,be,be,,,,,,,,,,,,,,,,0,0,,,
13,seen.,seen,,,,,,,,,,,,,,,,2,1,,,
14,Most,most,,,,,,,,,,,,,,,,0,2,,,
15,spiders,spiders,,,,,,,,,,,,,,,,0,1,,,
16,live,live,,,,,,,,,,,,,,,,0,0,,,
17,only,only,,,,,,,,,,,,,,,,0,2,,,
18,for,for,,,,,,,,,,,,,,,,0,0,,,
19,one,one,,,,,,,,,,,,,,,,0,1,,,
20,year.,year,,,,,,,,,,,,,,,,2,1,,,
21,Their,their,,,,,,,,,,,,,,,,0,0,,,
22,food,food,,,,,,,,,,,,,,,,0,1,,,
23,is,is,,,,,,,,,,,,,,,,0,0,,,
24,mainly,mainly,,,,,,,,,,,,,,,,0,1,,,
25,insects.,insects,,,,,,,,,,,,,,,,2,2,,,
26,"Yet,",yet,,,,,,,,,,,,,,,,1,1,,,
27,hungry,hungry,,,,,,,,,,,,,,,,0,2,,,
28,young,young,,,,,,,,,,,,,,,,0,1,,,
29,"spiders,",spiders,,,,,,,,,,,,,,,,1,0,,,
30,sometimes,sometimes,,,,,,,,,,,,,,,,1,1,,,
31,eat,eat,,,,,,,,,,,,,,,,0,2,,,
32,their,their,,,,,,,,,,,,,,,,0,0,,,
33,brothers,brothers,,,,,,,,,,,,,,,,0,1,,,
34,and,and,,,,,,,,,,,,,,,,0,0,,,
35,sisters,sisters,,,,,,,,,,,,,,,,1,1,,,
36,if,if,,,,,,,,,,,,,,,,0,0,,,
37,they,they,,,,,,,,,,,,,,,,0,0,,,
38,get,get,,,,,,,,,,,,,,,,0,1,,,
39,the,the,,,,,,,,,,,,,,,,0,0,,,
40,chance!,chance,,,,,,,,,,,,,,,,2,2,,,
41,Spiders,spiders,,,,,,,,,,,,,,,,0,1,,,
42,lay,lay,,,,,,,,,,,,,,,,0,2,,,
43,eggs,eggs,,,,,,,,,,,,,,,,0,1,,,
44,in,in,,,,,,,,,,,,,,,,0,0,,,
45,a,a,,,,,,,,,,,,,,,,0,0,,,
46,small,small,,,,,,,,,,,,,,,,0,1,,,
47,ball,ball,,,,,,,,,,,,,,,,0,1,,,
48,of,of,,,,,,,,,,,,,,,,0,0,,,
49,silk.,silk,,,,,,,,,,,,,,,,2,2,,,
50,Many,many,,,,,,,,,,,,,,,,0,2,,,
51,kinds,kinds,,,,,,,,,,,,,,,,0,0,,,
52,of,of,,,,,,,,,,,,,,,,0,0,,,
53,female,female,,,,,,,,,,,,,,,,0,1,,,
54,spiders,spiders,,,,,,,,,,,,,,,,0,0,,,
55,then,then,,,,,,,,,,,,,,,,0,0,,,
56,"die,",die,,,,,,,,,,,,,,,,1,2,,,
57,leaving,leaving,,,,,,,,,,,,,,,,0,1,,,
58,the,the,,,,,,,,,,,,,,,,0,0,,,
59,young,young,,,,,,,,,,,,,,,,0,1,,,
60,to,to,,,,,,,,,,,,,,,,0,0,,,
61,grow,grow,,,,,,,,,,,,,,,,1,1,,,
62,as,as,,,,,,,,,,,,,,,,0,0,,,
63,best,best,,,,,,,,,,,,,,,,0,2,,,
64,they,they,,,,,,,,,,,,,,,,0,0,,,
65,"can,",can,,,,,,,,,,,,,,,,1,1,,,
66,and,and,,,,,,,,,,,,,,,,0,0,,,
67,to,to,,,,,,,,,,,,,,,,0,0,,,
68,care,care,,,,,,,,,,,,,,,,0,2,,,
69,for,for,,,,,,,,,,,,,,,,0,0,,,
70,themselves.,themselves,,,,,,,,,,,,,,,,2,1,,,
