# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,People,people,,,,,,,,,,,,,,,,0,1,,,
1,have,have,,,,,,,,,,,,,,,,0,0,,,
2,always,always,,,,,,,,,,,,,,,,0,1,,,
3,loved,loved,,,,,,,,,,,,,,,,0,1,,,
4,gold.,gold,,,,,,,,,,,,,,,,2,1,,,
5,They,they,,,,,,,,,,,,,,,,0,1,,,
6,love,love,,,,,,,,,,,,,,,,0,1,,,
7,its,its,,,,,,,,,,,,,,,,0,0,,,
8,colour.,colour,,,,,,,,,,,,,,,,2,1,,,
9,Gold,gold,,,,,,,,,,,,,,,,0,1,,,
10,is,is,,,,,,,,,,,,,,,,0,0,,,
11,like,like,,,,,,,,,,,,,,,,0.5,0,,,
12,a,a,,,,,,,,,,,,,,,,0,0,,,
13,second,second,,,,,,,,,,,,,,,,0,2,,,
14,sun,sun,,,,,,,,,,,,,,,,0,1,,,
15,for,for,,,,,,,,,,,,,,,,0,1,,,
16,them.,them,,,,,,,,,,,,,,,,2,0,,,
17,A,a,,,,,,,,,,,,,,,,0,0,,,
18,sun,sun,,,,,,,,,,,,,,,,0,1,,,
19,that,that,,,,,,,,,,,,,,,,0,0,,,
20,lights,lights,,,,,,,,,,,,,,,,0,1,,,
21,up,up,,,,,,,,,,,,,,,,0.5,0,,,
22,the,the,,,,,,,,,,,,,,,,0,0,,,
23,inside,inside,,,,,,,,,,,,,,,,0,1,,,
24,of,of,,,,,,,,,,,,,,,,0,0,,,
25,the,the,,,,,,,,,,,,,,,,0,0,,,
26,earth!,earth,,,,,,,,,,,,,,,,2,2,,,
27,Gold,gold,,,,,,,,,,,,,,,,0,2,,,
28,has,has,,,,,,,,,,,,,,,,0,0,,,
29,many,many,,,,,,,,,,,,,,,,0,1,,,
30,uses.,uses,,,,,,,,,,,,,,,,2,0,,,
31,It,it,,,,,,,,,,,,,,,,0,0,,,
32,is,is,,,,,,,,,,,,,,,,0,0,,,
33,used,used,,,,,,,,,,,,,,,,0,0,,,
34,in,in,,,,,,,,,,,,,,,,0,0,,,
35,jewellery.,jewellery,,,,,,,,,,,,,,,,2,2,,,
36,It,it,,,,,,,,,,,,,,,,0,0,,,
37,is,is,,,,,,,,,,,,,,,,0,0,,,
38,even,even,,,,,,,,,,,,,,,,0,1,,,
39,used,used,,,,,,,,,,,,,,,,0,0,,,
40,in,in,,,,,,,,,,,,,,,,0,0,,,
41,medicine.,medicine,,,,,,,,,,,,,,,,2,2,,,
