# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,If,if,,,,,,,,,,,,,,,,0,0,,,
1,you,you,,,,,,,,,,,,,,,,0,1,,,
2,look,look,,,,,,,,,,,,,,,,0,0,,,
3,at,at,,,,,,,,,,,,,,,,0,0,,,
4,pictures,pictures,,,,,,,,,,,,,,,,0,1,,,
5,of,of,,,,,,,,,,,,,,,,0,0,,,
6,"butterflies,",butterflies,,,,,,,,,,,,,,,,1,2,,,
7,you,you,,,,,,,,,,,,,,,,0,1,,,
8,will,will,,,,,,,,,,,,,,,,0,0,,,
9,find,find,,,,,,,,,,,,,,,,0.5,1,,,
10,that,that,,,,,,,,,,,,,,,,0,0,,,
11,many,many,,,,,,,,,,,,,,,,0,2,,,
12,of,of,,,,,,,,,,,,,,,,0,0,,,
13,them,them,,,,,,,,,,,,,,,,0.5,0,,,
14,have,have,,,,,,,,,,,,,,,,0,0,,,
15,"large,",large,,,,,,,,,,,,,,,,1,1,,,
16,black,black,,,,,,,,,,,,,,,,0,2,,,
17,circles,circles,,,,,,,,,,,,,,,,0.5,0,,,
18,on,on,,,,,,,,,,,,,,,,0,0,,,
19,their,their,,,,,,,,,,,,,,,,0,0,,,
20,wings.,wings,,,,,,,,,,,,,,,,2,1,,,
21,These,these,,,,,,,,,,,,,,,,0,1,,,
22,look,look,,,,,,,,,,,,,,,,0,0,,,
23,like,like,,,,,,,,,,,,,,,,0,0,,,
24,eyes.,eyes,,,,,,,,,,,,,,,,2,2,,,
25,These,these,,,,,,,,,,,,,,,,0,1,,,
26,'eyes',eyes,,,,,,,,,,,,,,,,0.5,1,,,
27,are,are,,,,,,,,,,,,,,,,0,0,,,
28,very,very,,,,,,,,,,,,,,,,0,2,,,
29,useful,useful,,,,,,,,,,,,,,,,0,2,,,
30,to,to,,,,,,,,,,,,,,,,0,0,,,
31,the,the,,,,,,,,,,,,,,,,0,0,,,
32,butterfly.,butterfly,,,,,,,,,,,,,,,,2,1,,,
33,They,they,,,,,,,,,,,,,,,,0,1,,,
34,help,help,,,,,,,,,,,,,,,,0,1,,,
35,it,it,,,,,,,,,,,,,,,,0,0,,,
36,to,to,,,,,,,,,,,,,,,,0,0,,,
37,escape,escape,,,,,,,,,,,,,,,,0.5,2,,,
38,from,from,,,,,,,,,,,,,,,,0,0,,,
39,its,its,,,,,,,,,,,,,,,,0,0,,,
40,enemies.,enemies,,,,,,,,,,,,,,,,2,1,,,
41,A,a,,,,,,,,,,,,,,,,0,0,,,
42,bird,bird,,,,,,,,,,,,,,,,0,2,,,
43,or,or,,,,,,,,,,,,,,,,0,0,,,
44,a,a,,,,,,,,,,,,,,,,0,0,,,
45,lizard,lizard,,,,,,,,,,,,,,,,1,2,,,
46,which,which,,,,,,,,,,,,,,,,0,0,,,
47,is,is,,,,,,,,,,,,,,,,0,0,,,
48,trying,trying,,,,,,,,,,,,,,,,0,0,,,
49,to,to,,,,,,,,,,,,,,,,0,0,,,
50,catch,catch,,,,,,,,,,,,,,,,0,2,,,
51,a,a,,,,,,,,,,,,,,,,0,0,,,
52,butterfly,butterfly,,,,,,,,,,,,,,,,1,1,,,
53,mistakes,mistakes,,,,,,,,,,,,,,,,0,2,,,
54,these,these,,,,,,,,,,,,,,,,0,0,,,
55,black,black,,,,,,,,,,,,,,,,0,1,,,
56,circles,circles,,,,,,,,,,,,,,,,0.5,0,,,
57,for,for,,,,,,,,,,,,,,,,0,0,,,
58,the,the,,,,,,,,,,,,,,,,0,0,,,
59,creature's,creature's,,,,,,,,,,,,,,,,0,1,,,
60,eyes.,eyes,,,,,,,,,,,,,,,,2,2,,,
61,It,it,,,,,,,,,,,,,,,,0,0,,,
62,aims,aims,,,,,,,,,,,,,,,,0.5,2,,,
63,or,or,,,,,,,,,,,,,,,,0,0,,,
64,tries,tries,,,,,,,,,,,,,,,,0,1,,,
65,to,to,,,,,,,,,,,,,,,,0,0,,,
66,hit,hit,,,,,,,,,,,,,,,,0,1,,,
67,the,the,,,,,,,,,,,,,,,,0,0,,,
68,'eye'.,eye,,,,,,,,,,,,,,,,2,1,,,
69,But,but,,,,,,,,,,,,,,,,0,0,,,
70,all,all,,,,,,,,,,,,,,,,0,2,,,
71,that,that,,,,,,,,,,,,,,,,0,0,,,
72,it,it,,,,,,,,,,,,,,,,0,0,,,
73,gets,gets,,,,,,,,,,,,,,,,1,1,,,
74,is,is,,,,,,,,,,,,,,,,0,0,,,
75,a,a,,,,,,,,,,,,,,,,0,0,,,
76,bit,bit,,,,,,,,,,,,,,,,0,2,,,
77,of,of,,,,,,,,,,,,,,,,0,0,,,
78,the,the,,,,,,,,,,,,,,,,0,0,,,
79,wing.,wing,,,,,,,,,,,,,,,,2,2,,,
