# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,In,in,,,,,,,,,,,,,,,,0,0,,,
1,the,the,,,,,,,,,,,,,,,,0,0,,,
2,colder,colder,,,,,,,,,,,,,,,,0,2,,,
3,parts,parts,,,,,,,,,,,,,,,,0,0,,,
4,of,of,,,,,,,,,,,,,,,,0,0,,,
5,the,the,,,,,,,,,,,,,,,,0,0,,,
6,"world,",world,,,,,,,,,,,,,,,,1,0,,,
7,bears,bears,,,,,,,,,,,,,,,,0,1,,,
8,hibernate,hibernate,,,,,,,,,,,,,,,,0,2,,,
9,from,from,,,,,,,,,,,,,,,,0,0,,,
10,October,october,,,,,,,,,,,,,,,,0,2,,,
11,to,to,,,,,,,,,,,,,,,,0,0,,,
12,April.,april,,,,,,,,,,,,,,,,2,2,,,
13,Before,before,,,,,,,,,,,,,,,,0,1,,,
14,"hibernating,",hibernating,,,,,,,,,,,,,,,,1,0,,,
15,they,they,,,,,,,,,,,,,,,,0,0,,,
16,eat,eat,,,,,,,,,,,,,,,,0,1,,,
17,a,a,,,,,,,,,,,,,,,,0,0,,,
18,lot,lot,,,,,,,,,,,,,,,,0,1,,,
19,of,of,,,,,,,,,,,,,,,,0,0,,,
20,food,food,,,,,,,,,,,,,,,,1,0,,,
21,and,and,,,,,,,,,,,,,,,,0,0,,,
22,become,become,,,,,,,,,,,,,,,,0,1,,,
23,fat.,fat,,,,,,,,,,,,,,,,2,2,,,
24,Although,although,,,,,,,,,,,,,,,,0,1,,,
25,bears,bears,,,,,,,,,,,,,,,,0,1,,,
26,have,have,,,,,,,,,,,,,,,,0,0,,,
27,very,very,,,,,,,,,,,,,,,,0,2,,,
28,poor,poor,,,,,,,,,,,,,,,,0,2,,,
29,eyesight,eyesight,,,,,,,,,,,,,,,,0,0,,,
30,and,and,,,,,,,,,,,,,,,,0,0,,,
31,"hearing,",hearing,,,,,,,,,,,,,,,,1,2,,,
32,they,they,,,,,,,,,,,,,,,,0,0,,,
33,can,can,,,,,,,,,,,,,,,,0,0,,,
34,smell,smell,,,,,,,,,,,,,,,,0,2,,,
35,very,very,,,,,,,,,,,,,,,,0,2,,,
36,well,well,,,,,,,,,,,,,,,,1,0,,,
37,and,and,,,,,,,,,,,,,,,,0,0,,,
38,are,are,,,,,,,,,,,,,,,,0,0,,,
39,very,very,,,,,,,,,,,,,,,,0,2,,,
40,clever.,clever,,,,,,,,,,,,,,,,2,2,,,
41,At,at,,,,,,,,,,,,,,,,0,0,,,
42,the,the,,,,,,,,,,,,,,,,0,0,,,
43,"zoo,",zoo,,,,,,,,,,,,,,,,1,2,,,
44,you,you,,,,,,,,,,,,,,,,0,1,,,
45,may,may,,,,,,,,,,,,,,,,0,1,,,
46,have,have,,,,,,,,,,,,,,,,0,0,,,
47,noticed,noticed,,,,,,,,,,,,,,,,1,1,,,
48,how,how,,,,,,,,,,,,,,,,0,1,,,
49,cleverly,cleverly,,,,,,,,,,,,,,,,0,2,,,
50,they,they,,,,,,,,,,,,,,,,0,0,,,
51,beg,beg,,,,,,,,,,,,,,,,0,2,,,
52,for,for,,,,,,,,,,,,,,,,0,0,,,
53,biscuits,biscuits,,,,,,,,,,,,,,,,0,2,,,
54,and,and,,,,,,,,,,,,,,,,0,0,,,
55,"nuts,",nuts,,,,,,,,,,,,,,,,1,2,,,
56,by,by,,,,,,,,,,,,,,,,0,0,,,
57,sitting,sitting,,,,,,,,,,,,,,,,0,2,,,
58,up,up,,,,,,,,,,,,,,,,1,0,,,
59,and,and,,,,,,,,,,,,,,,,0,0,,,
60,holding,holding,,,,,,,,,,,,,,,,0,2,,,
61,out,out,,,,,,,,,,,,,,,,0,0,,,
62,their,their,,,,,,,,,,,,,,,,0,0,,,
63,paws.,paws,,,,,,,,,,,,,,,,2,2,,,
