# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,"""How",how,0,WRB,RB,,,False,False,False,,,,,,,,0,2,1,2,571848080
1,can,can,0,MD,MD,,,False,False,False,,,,,,,,0,0,1,3,1242323499
2,we,we,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,1390661912
3,live,live,x,JJ,VB,,,True,False,False,,1.0,1.0,,,,,0,1,1,3,166005029
4,when,when,0,WRB,CC,,,False,False,False,,,,,,,,0,0,1,3,650621178
5,you,you,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,2996181025
6,are,are,0,VBP,AU,,,False,False,False,,,,,,,,0,0,1,2,2393614870
7,always,always,0,RB,RB,,,True,False,False,,,,,,,,0,2,2,5,127634767
8,making,making,0,VBG,VB,,,True,False,False,,1.0,1.0,,,,,0,0,2,6,124198695
9,our,our,0,PRP$,PR,,,False,False,False,,,,,,,,0,1,1,2,998757982
10,drinking,drinking,0,NN,JJ,,,True,False,False,,,1.0,,,,,0,0,2,8,18160233
11,water,water,0,NN,NN,,,True,False,False,,1.0,,,,,,0,0,2,5,215178488
12,so,so,0,RB,RB,,,True,False,False,,,,,,,,0,2,1,2,661809559
13,"dirty?""",dirty,1,NN,JJ,,,True,True,False,,1.0,1.0,,,,,2,2,2,5,16101662
14,they,they,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,883223816
15,said.,said,1,VBD,VB,,,True,True,True,,1.0,1.0,,,,,2,0,1,3,315595259
16,"""You",you,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,2996181025
17,must,must,0,MD,MD,,,False,False,False,,,,,,,,0,2,1,4,292774716
18,stop,stop,0,NN,VB,,,True,False,False,,,1.0,,,,,0,0,1,4,77749471
19,catching,catching,0,VBG,NN,,,True,False,False,,,,,,,,0,0,2,6,4274928
20,"fish.""",fish,1,NN,NN,,,True,True,False,1.0,1.0,,,,,,2,1,1,3,52756224
21,The,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
22,other,other,0,JJ,JJ,,,True,False,False,,,,,,,,0,1,2,4,978481319
23,tribe,tribe,0,NN,NN,,,True,False,False,,,,,,,,0,0,1,4,7890695
24,became,became,0,VBD,VB,,,True,False,False,,,,,,,,0,0,2,5,37332761
25,even,even,0,RB,RB,,1.0,True,False,False,,,,,,,,0,0,2,4,245697701
26,angrier.,angrier,1,NN,JJ,,,True,True,True,,1.0,1.0,,,,,2,2,3,7,83741
27,"""Why",why,0,WRB,RB,,,False,False,False,,,,,,,,0,2,1,4,192000672
28,should,should,0,MD,MD,,,False,False,False,,,,,,,,0,0,1,3,402028056
29,we,we,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,1390661912
30,go,go,0,VB,VB,,,True,False,False,,,,,,,,0,1,1,2,421086358
31,hungry,hungry,0,NN,JJ,,,True,False,False,,1.0,1.0,,,,,1,0,2,6,6217455
32,just,just,0,RB,RB,,,True,False,False,,,,,,,,0,2,1,4,462836169
33,to,to,0,TO,RP,,,False,False,False,,,,,,,,0,0,1,2,12136980858
34,stop,stop,0,NN,VB,,,True,False,False,,,1.0,,,,,0,1,1,4,77749471
35,you,you,0,PRP,PR,,,False,False,False,,,,,,,,0,2,1,2,2996181025
36,"complaining?""",complaining,1,VBG,JJ,1.0,,True,True,False,,1.0,,,,,,1,0,3,10,2596505
37,they,they,0,PRP,PR,,,False,False,False,,,,,,,,0,0,1,2,883223816
38,replied.,replied,1,VBD,VB,,,True,True,True,1.0,1.0,1.0,,,,,2,1,2,6,7528347
39,In,in,0,IN,IN,,,False,False,False,,,,,,,,0,0,1,2,8469404971
40,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
41,"end,",end,1,NN,NN,,,True,True,False,,1.0,1.0,,,,,2,2,1,3,220812328
42,both,both,0,DT,JJ,,,False,False,False,,,,,,,,0,2,1,3,228648541
43,tribes,tribes,0,NNS,NN,,,True,False,False,,,,,,,,0,0,1,5,6852777
44,went,went,0,VBD,VB,,,True,False,False,,,,,,,,0,0,1,4,68130142
45,to,to,0,TO,RP,,,False,False,False,,,,,,,,0,0,1,2,12136980858
46,war,war,0,NN,NN,,,True,False,False,,1.0,1.0,,,,,2,1,1,3,126517399
47,and,and,0,CC,CC,,,False,False,False,,,,,,,,0,0,1,3,12997637966
48,killed,killed,0,VBN,VB,,,False,False,False,,,1.0,,,,,0,2,1,4,23240536
49,each,each,0,DT,PR,,,False,False,False,,,,,,,,0,0,1,2,340892856
50,other.,other,1,JJ,PR,,,True,True,True,,1.0,,,,,,2,0,2,4,978481319
51,So,so,0,RB,CC,,,True,False,False,,,,,,,,1,0,1,2,661809559
52,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
53,river,river,0,NN,NN,,,True,False,False,,,,,,,,0,1,2,5,78843808
54,became,became,0,VBD,VB,,,True,False,False,,,,,,,,0,0,2,5,37332761
55,calm,calm,0,NN,JJ,,,True,False,False,,,,,,,,0,2,1,3,7867353
56,"again,",again,1,RB,RB,,,True,True,False,,1.0,1.0,,,,,2,1,2,4,150781416
57,and,and,0,CC,CC,,,False,False,False,,,,,,,,0,1,1,3,12997637966
58,the,the,0,DT,DT,,,False,False,False,,,,,,,,0,0,1,2,23135851162
59,fish,fish,0,NN,NN,,,True,False,False,,,,,,,,0,2,1,3,52756224
60,were,were,0,VBD,AU,,,True,False,False,,,,,,,,0,0,1,3,570699558
61,left,left,0,NN,VB,,,True,False,False,,,,,,,,0,0,1,4,171752631
62,in,in,0,IN,IN,,,False,False,False,,,,,,,,0,0,1,2,8469404971
63,peace.,peace,1,NN,NN,,,True,True,True,1.0,1.0,1.0,,,,,2,2,1,3,47856201
