# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,When,when,0,WRB,RB,,,False,False,False,,,,0,0,0,0,0,0,1,3,650621178
1,Jerry,jerry,0,NN,NP,,,True,False,False,,,,0,1,0,1,0,2,2,4,13908229
2,peeped,peeped,0,NN,VB,,,True,False,False,,,,0,0,0,0,0,0,1,4,102578
3,out,out,0,IN,IN,,,False,False,False,,,,0,1,0,1,0,2,1,2,741601852
4,of,of,0,IN,IN,,,False,False,False,,,,0,0,0,0,0,0,1,2,13151942776
5,the,the,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,2,23135851162
6,"hole,",hole,1,NN,NN,,,True,True,False,,,,1,0,0,0,1,0,1,3,26199070
7,he,he,0,PRP,PR,,,False,False,False,,,,0,0,0,0,0,0,1,2,842847219
8,saw,saw,0,NN,VB,,,True,False,False,,,,0,1,0,1,0,2,1,2,48544776
9,Tom,tom,0,NN,NP,,,True,False,False,,,,0,0,0,0,0,0,1,3,47775300
10,hiding,hiding,0,NN,JJ,,,True,False,False,,,,0,1,0,1,0,2,2,6,4565153
11,there.,there,1,RB,RB,,,True,True,True,1.0,,,1,1,1,0,2,1,1,3,701170205
12,"Soon,",soon,1,RB,RB,,,True,True,False,,,,1,0,1,0,2,0,1,3,77038135
13,Tom,tom,0,NN,NP,,,True,False,False,,,,0,1,0,0,0,1,1,3,47775300
14,saw,saw,0,NN,VB,,,True,False,False,,,,0,0,0,0,0,0,1,2,48544776
15,a,a,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,1,9081174698
16,long,long,0,RB,JJ,,,True,False,False,,,,0,1,0,1,0,2,1,4,252519588
17,hollow,hollow,0,NN,JJ,,,True,False,False,,,,0,1,0,0,0,1,2,4,5408962
18,pipe,pipe,0,NN,NN,,,True,False,False,,,,1,0,1,1,2,1,1,3,16178319
19,coming,coming,0,VBG,JJ,,,True,False,False,,,,0,0,0,0,0,0,2,6,69889118
20,out,out,0,IN,IN,,,False,False,False,,,,0,0,0,0,0,0,1,2,741601852
21,of,of,0,IN,IN,,,False,False,False,,,,0,0,0,0,0,0,1,2,13151942776
22,the,the,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,2,23135851162
23,hole.,hole,1,NN,NN,,,True,True,True,1.0,,,1,1,1,0,2,1,1,3,26199070
24,Jerry,jerry,0,NN,NP,,,True,False,False,,,,0,1,0,1,0,2,2,4,13908229
25,drank,drank,0,NN,VB,,,True,False,False,,,,0,1,0,0,0,1,1,5,1777243
26,all,all,0,DT,PR,,,False,False,False,,,,0,1,0,1,0,2,1,2,2022459848
27,the,the,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,2,23135851162
28,milk,milk,0,NN,NN,,,True,False,False,,,,0,0,0,0,0,0,1,4,20955909
29,in,in,0,IN,IN,,,False,False,False,,,,0,0,0,0,0,0,1,2,8469404971
30,the,the,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,2,23135851162
31,dish,dish,0,NN,NN,,,True,False,False,,,,1,1,1,1,2,2,1,3,21755859
32,through,through,0,IN,IN,,,False,False,False,,,,0,1,0,1,0,2,1,3,342373303
33,the,the,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,2,23135851162
34,pipe.,pipe,1,NN,NN,,,True,True,True,,,,1,0,1,0,2,0,1,3,16178319
35,Poor,poor,0,JJ,JJ,,,True,False,False,,,,0,1,0,1,0,2,2,4,48053008
36,Tom,tom,0,NN,NP,,,True,False,False,,,,1,0,1,0,2,0,1,3,47775300
37,sat,sat,0,NN,VB,,,True,False,False,,,,0,1,0,1,0,2,1,3,70639358
38,on,on,x,IN,RP,,,False,False,False,,,,1,0,1,0,2,0,1,2,3750423199
39,looking,looking,0,VBG,RB,,,True,False,False,,,,0,1,0,0,0,1,2,6,150610176
40,at,at,0,IN,IN,,,False,False,False,,,,0,0,0,0,0,0,1,2,2272272772
41,the,the,0,DT,DT,,,False,False,False,,,,0,0,0,0,0,0,1,2,23135851162
42,empty,empty,0,JJ,JJ,,,True,False,False,,,,0,1,0,1,0,2,2,5,26206017
43,dish.,dish,1,NN,NN,,,True,True,True,1.0,,,1,1,1,0,2,1,1,3,21755859
