# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,एक,,,,,,,,,,,,,,,,,0,,,,
1,राजा,,,,,,,,,,,,,,,,,0,,,,
2,था।,,,,,,,,,,,,,,,,,2,,,,
3,उसका,,,,,,,,,,,,,,,,,0,,,,
4,एक,,,,,,,,,,,,,,,,,0,,,,
5,बड़ा-,,,,,,,,,,,,,,,,,0,,,,
6,सा,,,,,,,,,,,,,,,,,0,,,,
7,राज्य,,,,,,,,,,,,,,,,,0,,,,
8,था।,,,,,,,,,,,,,,,,,2,,,,
9,एक,,,,,,,,,,,,,,,,,0,,,,
10,दिन,,,,,,,,,,,,,,,,,1,,,,
11,उसे,,,,,,,,,,,,,,,,,0,,,,
12,देश,,,,,,,,,,,,,,,,,0,,,,
13,घूमने,,,,,,,,,,,,,,,,,0,,,,
14,का,,,,,,,,,,,,,,,,,0,,,,
15,विचार,,,,,,,,,,,,,,,,,0,,,,
16,आया,,,,,,,,,,,,,,,,,1,,,,
17,और,,,,,,,,,,,,,,,,,0,,,,
18,उसने,,,,,,,,,,,,,,,,,0,,,,
19,देश,,,,,,,,,,,,,,,,,0,,,,
20,भ्रमण,,,,,,,,,,,,,,,,,0,,,,
21,की,,,,,,,,,,,,,,,,,0,,,,
22,योजना,,,,,,,,,,,,,,,,,0,,,,
23,बनाई,,,,,,,,,,,,,,,,,1,,,,
24,और,,,,,,,,,,,,,,,,,0,,,,
25,घूमने,,,,,,,,,,,,,,,,,0,,,,
26,निकल,,,,,,,,,,,,,,,,,0,,,,
27,पड़ा।,,,,,,,,,,,,,,,,,2,,,,
28,जब,,,,,,,,,,,,,,,,,0,,,,
29,वह,,,,,,,,,,,,,,,,,0,,,,
30,यात्रा,,,,,,,,,,,,,,,,,0,,,,
31,से,,,,,,,,,,,,,,,,,0,,,,
32,लौट,,,,,,,,,,,,,,,,,0,,,,
33,कर,,,,,,,,,,,,,,,,,0.5,,,,
34,अपने,,,,,,,,,,,,,,,,,0,,,,
35,महल,,,,,,,,,,,,,,,,,0,,,,
36,"आया,",,,,,,,,,,,,,,,,,1,,,,
37,उसने,,,,,,,,,,,,,,,,,0,,,,
38,अपने,,,,,,,,,,,,,,,,,0,,,,
39,मंत्रियों,,,,,,,,,,,,,,,,,0,,,,
40,से,,,,,,,,,,,,,,,,,0.5,,,,
41,पैरों,,,,,,,,,,,,,,,,,0,,,,
42,में,,,,,,,,,,,,,,,,,0,,,,
43,दर्द,,,,,,,,,,,,,,,,,0,,,,
44,होने,,,,,,,,,,,,,,,,,0,,,,
45,की,,,,,,,,,,,,,,,,,0,,,,
46,शिकायत,,,,,,,,,,,,,,,,,0,,,,
47,की।,,,,,,,,,,,,,,,,,2,,,,
48,राजा,,,,,,,,,,,,,,,,,0,,,,
49,का,,,,,,,,,,,,,,,,,0,,,,
50,कहना,,,,,,,,,,,,,,,,,0,,,,
51,था,,,,,,,,,,,,,,,,,1,,,,
52,कि,,,,,,,,,,,,,,,,,1,,,,
53,मार्ग,,,,,,,,,,,,,,,,,0,,,,
54,में,,,,,,,,,,,,,,,,,0,,,,
55,जो,,,,,,,,,,,,,,,,,0,,,,
56,कंकड़,,,,,,,,,,,,,,,,,0,,,,
57,-पत्थर,,,,,,,,,,,,,,,,,0,,,,
58,"थे,",,,,,,,,,,,,,,,,,1,,,,
59,वे,,,,,,,,,,,,,,,,,0,,,,
60,मेरे,,,,,,,,,,,,,,,,,0,,,,
61,पैरों,,,,,,,,,,,,,,,,,0,,,,
62,में,,,,,,,,,,,,,,,,,0,,,,
63,चुभ,,,,,,,,,,,,,,,,,0,,,,
64,गए,,,,,,,,,,,,,,,,,1,,,,
65,और,,,,,,,,,,,,,,,,,0,,,,
66,इसके,,,,,,,,,,,,,,,,,0,,,,
67,लिए,,,,,,,,,,,,,,,,,0.5,,,,
68,कुछ,,,,,,,,,,,,,,,,,0,,,,
69,इंतजाम,,,,,,,,,,,,,,,,,0,,,,
70,करना,,,,,,,,,,,,,,,,,0,,,,
71,चाहिए।,,,,,,,,,,,,,,,,,2,,,,
