# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,एक,,,,,,,,,,,,,,,,,0,,,,
1,दिन,,,,,,,,,,,,,,,,,1,,,,
2,वह,,,,,,,,,,,,,,,,,0,,,,
3,बीमार,,,,,,,,,,,,,,,,,0,,,,
4,पड़,,,,,,,,,,,,,,,,,0,,,,
5,गई,,,,,,,,,,,,,,,,,1,,,,
6,और,,,,,,,,,,,,,,,,,0,,,,
7,उसकी,,,,,,,,,,,,,,,,,0,,,,
8,मौत,,,,,,,,,,,,,,,,,0,,,,
9,हो,,,,,,,,,,,,,,,,,0,,,,
10,गई।,,,,,,,,,,,,,,,,,2,,,,
11,टींकू,,,,,,,,,,,,,,,,,0,,,,
12,चिड़िया,,,,,,,,,,,,,,,,,0.5,,,,
13,और,,,,,,,,,,,,,,,,,0,,,,
14,उसका,,,,,,,,,,,,,,,,,0,,,,
15,पूरा,,,,,,,,,,,,,,,,,0,,,,
16,परिवार,,,,,,,,,,,,,,,,,0.5,,,,
17,उस,,,,,,,,,,,,,,,,,0,,,,
18,औरत,,,,,,,,,,,,,,,,,0,,,,
19,के,,,,,,,,,,,,,,,,,0,,,,
20,खाने,,,,,,,,,,,,,,,,,0,,,,
21,पर,,,,,,,,,,,,,,,,,0.5,,,,
22,निर्भर,,,,,,,,,,,,,,,,,0,,,,
23,था।,,,,,,,,,,,,,,,,,2,,,,
24,अब,,,,,,,,,,,,,,,,,0,,,,
25,उनके,,,,,,,,,,,,,,,,,0,,,,
26,पास,,,,,,,,,,,,,,,,,0.5,,,,
27,खाने,,,,,,,,,,,,,,,,,0,,,,
28,के,,,,,,,,,,,,,,,,,0,,,,
29,लिए,,,,,,,,,,,,,,,,,0.5,,,,
30,कुछ,,,,,,,,,,,,,,,,,0,,,,
31,नहीं,,,,,,,,,,,,,,,,,0,,,,
32,था,,,,,,,,,,,,,,,,,1,,,,
33,और,,,,,,,,,,,,,,,,,0,,,,
34,न,,,,,,,,,,,,,,,,,0,,,,
35,ही,,,,,,,,,,,,,,,,,0,,,,
36,वो,,,,,,,,,,,,,,,,,0,,,,
37,अपने,,,,,,,,,,,,,,,,,0,,,,
38,लिए,,,,,,,,,,,,,,,,,0.5,,,,
39,खाना,,,,,,,,,,,,,,,,,0,,,,
40,जुटाने,,,,,,,,,,,,,,,,,0,,,,
41,के,,,,,,,,,,,,,,,,,0,,,,
42,लिए,,,,,,,,,,,,,,,,,0.5,,,,
43,कुछ,,,,,,,,,,,,,,,,,0,,,,
44,करते,,,,,,,,,,,,,,,,,0,,,,
45,हैं।,,,,,,,,,,,,,,,,,2,,,,
46,एक,,,,,,,,,,,,,,,,,0,,,,
47,दिन,,,,,,,,,,,,,,,,,1,,,,
48,भूख,,,,,,,,,,,,,,,,,0,,,,
49,से,,,,,,,,,,,,,,,,,0,,,,
50,बेहाल,,,,,,,,,,,,,,,,,0,,,,
51,होने,,,,,,,,,,,,,,,,,0,,,,
52,पर,,,,,,,,,,,,,,,,,1,,,,
53,टींकू,,,,,,,,,,,,,,,,,0,,,,
54,चिड़िया,,,,,,,,,,,,,,,,,0,,,,
55,के,,,,,,,,,,,,,,,,,0,,,,
56,पिता,,,,,,,,,,,,,,,,,0,,,,
57,ने,,,,,,,,,,,,,,,,,0.5,,,,
58,कीड़ों,,,,,,,,,,,,,,,,,0,,,,
59,का,,,,,,,,,,,,,,,,,0,,,,
60,शिकार,,,,,,,,,,,,,,,,,0,,,,
61,करने,,,,,,,,,,,,,,,,,0,,,,
62,का,,,,,,,,,,,,,,,,,0,,,,
63,फैसला,,,,,,,,,,,,,,,,,0,,,,
64,किया।,,,,,,,,,,,,,,,,,2,,,,
