# wordNo,origtext,text,info,postag,postagMod,unsure_for_POS,focus_particle,content?,punctforPhrase?,sentenceEnd?,3sentenceGrp,levis_boundary,levis_promin,boundary_slow,prominence_slow,boundary_fast,prominence_fast,boundary,prominence,no_syl,no_phones,word_freq
0,एक,,,,,,,,,,,,,,,,,0,,,,
1,दिन,,,,,,,,,,,,,,,,,1,,,,
2,दीदी,,,,,,,,,,,,,,,,,0.5,,,,
3,मीमी,,,,,,,,,,,,,,,,,0,,,,
4,के,,,,,,,,,,,,,,,,,0,,,,
5,स्कूल,,,,,,,,,,,,,,,,,0,,,,
6,आईं।,,,,,,,,,,,,,,,,,2,,,,
7,दीदी,,,,,,,,,,,,,,,,,0,,,,
8,टीचर,,,,,,,,,,,,,,,,,0,,,,
9,नहीं,,,,,,,,,,,,,,,,,0,,,,
10,थीं,,,,,,,,,,,,,,,,,1,,,,
11,और,,,,,,,,,,,,,,,,,0,,,,
12,वे,,,,,,,,,,,,,,,,,0,,,,
13,पढ़ती,,,,,,,,,,,,,,,,,0,,,,
14,भी,,,,,,,,,,,,,,,,,0,,,,
15,नहीं,,,,,,,,,,,,,,,,,0,,,,
16,थीं।,,,,,,,,,,,,,,,,,2,,,,
17,वे,,,,,,,,,,,,,,,,,0,,,,
18,बच्चों,,,,,,,,,,,,,,,,,0,,,,
19,से,,,,,,,,,,,,,,,,,0,,,,
20,तो,,,,,,,,,,,,,,,,,0,,,,
21,बड़ी,,,,,,,,,,,,,,,,,0,,,,
22,थीं,,,,,,,,,,,,,,,,,1,,,,
23,लेकिन,,,,,,,,,,,,,,,,,0,,,,
24,टीचर,,,,,,,,,,,,,,,,,0,,,,
25,से,,,,,,,,,,,,,,,,,0.5,,,,
26,छोटी,,,,,,,,,,,,,,,,,0,,,,
27,ही,,,,,,,,,,,,,,,,,0,,,,
28,थीं।,,,,,,,,,,,,,,,,,2,,,,
29,दुबली,,,,,,,,,,,,,,,,,0,,,,
30,पतली,,,,,,,,,,,,,,,,,0,,,,
31,"सी,",,,,,,,,,,,,,,,,,1,,,,
32,चमकीली,,,,,,,,,,,,,,,,,0,,,,
33,आँखें।,,,,,,,,,,,,,,,,,2,,,,
34,चेहरे,,,,,,,,,,,,,,,,,0,,,,
35,पर,,,,,,,,,,,,,,,,,0,,,,
36,हल्की,,,,,,,,,,,,,,,,,0,,,,
37,सी,,,,,,,,,,,,,,,,,0,,,,
38,मुस्कान।,,,,,,,,,,,,,,,,,2,,,,
39,दीदी,,,,,,,,,,,,,,,,,0,,,,
40,रोज़,,,,,,,,,,,,,,,,,0,,,,
41,स्कूल,,,,,,,,,,,,,,,,,0,,,,
42,आने,,,,,,,,,,,,,,,,,0,,,,
43,लगीं,,,,,,,,,,,,,,,,,1,,,,
44,और,,,,,,,,,,,,,,,,,0,,,,
45,बच्चों,,,,,,,,,,,,,,,,,0,,,,
46,की,,,,,,,,,,,,,,,,,0,,,,
47,दोस्त,,,,,,,,,,,,,,,,,0,,,,
48,बन,,,,,,,,,,,,,,,,,0,,,,
49,गईं,,,,,,,,,,,,,,,,,1,,,,
50,और,,,,,,,,,,,,,,,,,0,,,,
51,टीचर,,,,,,,,,,,,,,,,,0,,,,
52,की,,,,,,,,,,,,,,,,,0,,,,
53,भी।,,,,,,,,,,,,,,,,,2,,,,
