"wordNo","origtext","boundary","prominence"
"0","This","0","0"
"1","is","0","0"
"2","a","0","0"
"3","fat","0","0"
"4","king.","2","0"
"5","The","0","0"
"6","fat","0","0"
"7","king","0","0"
"8","has","0","0"
"9","a","0","0"
"10","thin","0","0"
"11","dog.","2","0"
"12","The","0","0"
"13","fat","0","0"
"14","king","0","0"
"15","and","0","0"
"16","his","0","0"
"17","thin","0","0"
"18","dog","0","0"
"19","go","0","0"
"20","for","0","0"
"21","a","0","0"
"22","walk.","2","0"
"23","The","0","0"
"24","dog","0","0"
"25","sees","0","0"
"26","a","0","0"
"27","bird.","2","0"
"28","The","0","0"
"29","dog","0","0"
"30","runs","0","0"
"31","after","0","0"
"32","the","0","0"
"33","bird.","2","0"
"34","The","0","0"
"35","king","0","0"
"36","runs","0","0"
"37","after","0","0"
"38","the","0","0"
"39","dog.","2","0"
"40","They","0","0"
"41","run","0","0"
"42","and","0","0"
"43","run.","2","0"
"44","They","0","0"
"45","run","0","0"
"46","and","0","0"
"47","run","0","0"
"48","for","0","0"
"49","many","0","0"
"50","days.","2","0"
"51","The","0","0"
"52","king","0","0"
"53","catches","0","0"
"54","the","0","0"
"55","dog.","2","0"
"56","Now","0","0"
"57","the","0","0"
"58","fat","0","0"
"59","king","0","0"
"60","is","0","0"
"61","thin.","2","0"
"62","Now","0","0"
"63","the","0","0"
"64","fat","0","0"
"65","king","0","0"
"66","is","0","0"
"67","thin.","2","0"
